hour_ending,cooling,poolpump,plugload,other,total
7179.0,69.7242989166,144.423972,2648.77151853,6180.46687656,9043.38666601
7180.0,64.7144278988,165.055968,2499.23161873,5831.54044372,8560.54245835
7181.0,39.7273815663,162.763524,2496.96187251,5826.24436919,8525.69714727
7182.0,16.9133200342,217.78218,3075.28240815,7175.65895235,10485.6368605
7183.0,21.923191052,401.1777,3423.10579194,7987.24684786,11833.4535309
7184.0,0.371101556873,524.969676,3271.59433491,7633.72011479,11430.6552273
7185.0,13.7307576043,641.88432,3331.46935461,7773.42849409,11760.5129263
7186.0,143.532446574,882.59094,2956.862826,6899.346594,10882.3328066
7187.0,636.468382065,1063.694016,2673.00416304,6237.00971375,10610.1762749
7188.0,1048.197264,1150.806888,2897.12835264,6759.96615616,11856.0986608
7189.0,1747.39552487,1070.571348,2907.03190704,6783.07444976,12508.0732297
7190.0,2728.9300974,1029.307356,2692.26717516,6281.95674204,12732.4613706
7191.0,4028.54341906,930.732264,2604.4169938,6076.97298552,13640.6656624
7192.0,5098.09395367,777.138516,2707.39785518,6317.26166208,14899.8919869
7193.0,4257.47775796,646.469208,3312.15167649,7728.35391181,15944.4525543
7194.0,2995.06487777,451.611468,4384.17340752,10229.7379509,18060.5877042
7195.0,1726.51726908,343.8666,5242.20151551,12231.8035362,19544.3889208
7196.0,918.529683753,314.064828,5158.97785293,12037.6149902,18429.1873549
7197.0,586.352215241,252.16884,4594.33606752,10720.1174909,16152.9746136
7198.0,357.700760252,181.103076,4037.6917467,9421.2807423,13997.7763253
7199.0,319.355995322,126.08442,3373.71975714,7872.01276666,11691.1729391
7200.0,249.280021615,139.839084,2725.48065088,6359.45485204,9474.05460854
7201.0,164.172582353,149.00886,2534.79294141,5914.5168633,8762.49124706
7202.0,35.9060326798,114.6222,2430.49588732,5671.15707042,8252.18119042
7203.0,23.9250987665,144.423972,2449.60775358,5715.75142502,8333.70824937
7204.0,13.7307576043,165.055968,2506.83453558,5849.28058303,8534.90184421
7205.0,13.7307576043,162.763524,2707.14803058,6316.67873802,9200.3210502
7206.0,18.7406286221,217.78218,2966.29596,6921.35724,10124.1760086
7207.0,13.7307576043,401.1777,3172.86004281,7403.34009989,10991.1086003
7208.0,9.55586508947,524.969676,3282.96389355,7660.24908495,11477.7385196
7209.0,13.7307576043,641.88432,3073.32515916,7171.09203804,10900.0322748
7210.0,139.18553602,882.59094,2882.19411759,6725.11960771,10629.0902013
7211.0,709.979815758,1063.694016,2629.62951642,6135.80220498,10539.1055532
7212.0,1741.94184078,1150.806888,1989.53403351,4642.2460782,9524.52884049
7213.0,3987.10039197,1070.571348,1726.74656254,4029.07531259,10813.4936151
7214.0,6444.05180697,1029.307356,1701.71683776,3970.67262145,13145.7486222
7215.0,7529.08364166,930.732264,1839.81270135,4292.89630314,14592.5249101
7216.0,9212.58637717,777.138516,1933.76946339,4512.12874791,16435.6231045
7217.0,8386.26620373,646.469208,2692.70362972,6282.97513602,18008.4141775
7218.0,6857.7635129,451.611468,3876.49350312,9045.15150728,20231.0199913
7219.0,4238.35208664,343.8666,4916.11834443,11470.9428037,20969.2798347
7220.0,2335.94752248,314.064828,5050.54059978,11784.5947328,19485.1476831
7221.0,1429.72285594,252.16884,4620.36531615,10780.8524044,17083.1094164
7222.0,899.872862058,181.103076,3784.35089418,8830.15208642,13695.4789187
7223.0,487.841806672,126.08442,3258.83717295,7603.95340355,11476.7168032
7224.0,406.785344859,139.839084,2786.66468807,6502.2176055,9835.50672243
7225.0,235.650723615,149.00886,2558.15759461,5969.03438741,8911.85156563
7226.0,158.956289688,114.6222,2401.36557654,5603.18634526,8278.13041149
7227.0,100.442956912,144.423972,2339.56532572,5458.98576002,8043.41801465
7228.0,26.3746519813,165.055968,2423.00726076,5653.68360843,8268.12148917
7229.0,19.3638142024,162.763524,2634.7251451,6147.69200522,8964.54448852
7230.0,9.55586508947,217.78218,3044.49091365,7103.81213185,10375.6410906
7231.0,9.55586508947,401.1777,3097.48587702,7227.46704638,10735.6864885
7232.0,9.55586508947,524.969676,3035.07082482,7081.83192458,10651.4282905
7233.0,22.9155211369,641.88432,3211.69118061,7493.94608809,11370.4371098
7234.0,217.674515062,882.59094,2678.5388888,6249.92407386,10028.7284177
7235.0,1258.74140426,1063.694016,1947.49813069,4544.16230494,8814.09585589
7236.0,3856.93057786,1150.806888,1310.39723579,3057.59355019,9375.72825184
7237.0,8327.33061812,1070.571348,1207.83152422,2818.27355652,13424.0070469
7238.0,11164.876506,1029.307356,1122.32874304,2618.76706709,15935.2796721
7239.0,13285.4754749,930.732264,1143.90070556,2669.1016463,18029.2100908
7240.0,13828.3272784,777.138516,1639.96135224,3826.57648857,20072.0036352
7241.0,13449.1654691,646.469208,2358.4758268,5503.11026253,21957.2207664
7242.0,11383.0129311,451.611468,3688.05782391,8605.46825579,24128.1504788
7243.0,5702.57888938,343.8666,4745.00696655,11071.6829219,21863.1353779
7244.0,3224.43541064,314.064828,4924.57880415,11490.6838764,19953.7629191
7245.0,2129.92048445,252.16884,4742.65145184,11066.186721,18190.9274972
7246.0,1237.14274084,181.103076,4023.6260553,9388.4607957,14830.3326678
7247.0,695.44110919,126.08442,3406.21293567,7947.83018323,12175.5686481
7248.0,508.607556459,139.839084,2835.24895088,6615.5808854,10099.2764767
7249.0,332.802356302,149.00886,2613.6010168,6098.40237252,9193.81460562
7250.0,205.309495742,114.6222,2570.44919372,5997.71478534,8888.0956748
7251.0,132.440841023,144.423972,2533.74943116,5912.08200604,8722.69625022
7252.0,38.7419779438,165.055968,2617.9737687,6108.6054603,8930.37717494
7253.0,24.5482843468,162.763524,2686.13667126,6267.65223294,9141.10071255
7254.0,26.3746519813,217.78218,3138.91111848,7324.12594312,10707.1938936
7255.0,14.3539431846,401.1777,3144.45725661,7337.06693209,10897.0558319
7256.0,13.7307576043,524.969676,3206.09599215,7480.89064835,11225.6870741
7257.0,19.3638142024,641.88432,2990.73668766,6978.38560454,10630.3704264
7258.0,227.237718281,882.59094,2774.04139536,6472.76325584,10356.6333095
7259.0,794.906837011,1063.694016,2379.50823097,5552.18587225,9790.29495623
7260.0,2759.65232971,1150.806888,1713.84293647,3998.96685177,9623.26900595
7261.0,5888.57055675,1070.571348,1517.9561689,3541.89772743,12018.9958011
7262.0,8633.22159263,1029.307356,1679.37905357,3918.55112501,15260.4591272
7263.0,7148.16168232,930.732264,1671.53240719,3900.24228343,13650.6686369
7264.0,8197.08905632,777.138516,2073.19498691,4837.45496946,15884.8775287
7265.0,5854.57907668,646.469208,2991.79406862,6980.85282678,16473.6951801
7266.0,3841.83467334,451.611468,4252.85003082,9923.31673858,18469.6129107
7267.0,2058.36143753,343.8666,4319.46282126,10078.7465829,16800.4374417
7268.0,1466.6612811,314.064828,4756.06978974,11097.4961761,17634.2920749
7269.0,980.258744298,252.16884,4481.17456344,10456.0739814,16169.6761291
7270.0,728.181804114,181.103076,4075.58585061,9509.70031809,14494.5710488
7271.0,418.15181008,126.08442,3394.91679768,7921.47252792,11860.6255557
7272.0,197.57263402,139.839084,2845.67262845,6639.90279972,9822.98714619
7273.0,172.585587687,149.00886,2654.50306024,6193.8404739,9169.93798183
7274.0,58.3407135722,114.6222,2616.81292789,6105.89683173,8895.67267319
7275.0,39.9721274604,144.423972,2539.18366618,5924.76188774,8648.34165338
7276.0,24.5482843468,165.055968,2522.97473777,5886.94105481,8599.52004493
7277.0,20.373391832,162.763524,2464.11090178,5749.59210416,8396.83992177
7278.0,27.3842296109,217.78218,2928.56003699,6833.30675297,10007.0331996
7279.0,15.3635208142,401.1777,3178.00809336,7415.35221784,11009.901532
7280.0,26.3746519813,524.969676,3472.47994506,8102.45320514,12126.2774782
7281.0,30.5495444961,641.88432,3144.79447386,7337.85377234,11155.0821107
7282.0,215.879969948,882.59094,3271.3167675,7633.0724575,12002.8601349
7283.0,416.931952241,1063.694016,2974.54984842,6940.61631298,11395.7921296
7284.0,666.340260433,1150.806888,2841.24975885,6629.58277065,11287.9796779
7285.0,765.886217599,1070.571348,2998.89596853,6997.42392657,11832.7774607
7286.0,960.225650868,1029.307356,3368.2940274,7859.3527306,13217.1797649
7287.0,1033.97728251,930.732264,3043.51319589,7101.53079041,12109.7535328
7288.0,1080.98990085,777.138516,3181.94616801,7424.54105869,12464.6156436
7289.0,937.376244775,646.469208,3479.77400133,8119.47266977,13183.0921239
7290.0,796.700950855,451.611468,3867.71480016,9024.66786704,14140.6950861
