hour_ending,cooling,poolpump,plugload,other,total,,,,,,,,
5447,312.68927,126.10983,1121.899336,2617.765118,4178.463555,,,,,,,,
5448,300.9652839,139.867266,970.1400277,2263.660065,3674.632642,,,,,,,,
5449,256.1376558,149.03889,908.350727,2119.48503,3433.012303,,,,,,,,
5450,215.0980233,114.6453,931.8980458,2174.428773,3436.070142,,,,,,,,
5451,195.5929903,144.453078,826.0882442,1927.539236,3093.673549,,,,,,,,
5452,180.9377494,165.089232,793.8319499,1852.27455,2992.133481,,,,,,,,
5453,164.4419118,162.796326,854.1928226,1993.116586,3174.547646,,,,,,,,
5454,150.7674477,217.82607,833.5392781,1944.924982,3147.057778,,,,,,,,
5455,154.8004047,401.25855,529.0688783,1234.494049,2319.621882,,,,,,,,
5456,139.3980917,525.075474,420.551052,981.285788,2066.310406,,,,,,,,
5457,233.1676676,642.01368,317.3445672,740.4706568,1932.996572,,,,,,,,
5458,312.4365286,882.76881,300.9232982,702.1543625,2198.282999,,,,,,,,
5459,433.688292,1063.908384,311.4778524,726.7816555,2535.856184,,,,,,,,
5460,617.2230617,1151.038812,268.2607779,625.9418152,2662.464467,,,,,,,,
5461,744.4971037,1070.787102,302.8857693,706.7334617,2824.903437,,,,,,,,
5462,829.560679,1029.514794,346.0626317,807.4794741,3012.617579,,,,,,,,
5463,847.6248617,930.919836,414.7456021,967.7397382,3161.030038,,,,,,,,
5464,837.8752251,777.295134,487.9680543,1138.592127,3241.73054,,,,,,,,
5465,806.3306828,646.599492,603.3249064,1407.758115,3464.013196,,,,,,,,
5466,839.7694873,451.702482,556.8198103,1299.246224,3147.538004,,,,,,,,
5467,757.3838845,343.9359,519.4499698,1212.049929,2832.819684,,,,,,,,
5468,682.5199783,314.128122,931.2617877,2172.944171,4100.854059,,,,,,,,
5469,560.8910759,252.21966,1084.817951,2531.241886,4429.170573,,,,,,,,
5470,478.7527402,181.139574,1173.043314,2737.101065,4570.036694,,,,,,,,
5471,372.3166068,126.10983,1161.503833,2710.17561,4370.105879,,,,,,,,
5472,373.6929792,139.867266,977.2808653,2280.322019,3771.16313,,,,,,,,
5473,317.507651,149.03889,834.7934011,1947.851269,3249.191211,,,,,,,,
5474,310.1951198,114.6453,778.4737505,1816.438751,3019.752922,,,,,,,,
5475,284.5155422,144.453078,767.9708698,1791.93203,2988.87152,,,,,,,,
5476,263.1919057,165.089232,735.032716,1715.076337,2878.390191,,,,,,,,
5477,233.763379,162.796326,822.9092182,1920.121509,3139.590432,,,,,,,,
5478,239.4375232,217.82607,849.1098959,1981.256424,3287.629913,,,,,,,,
5479,256.3508168,401.25855,557.4148725,1300.634703,2515.658942,,,,,,,,
5480,265.0002302,525.075474,435.396515,1015.925202,2241.397421,,,,,,,,
5481,315.6999346,642.01368,531.4371243,1240.019957,2729.170696,,,,,,,,
5482,402.6657861,882.76881,517.3370982,1207.119896,3009.89159,,,,,,,,
5483,515.7460417,1063.908384,544.7492638,1271.081615,3395.485305,,,,,,,,
5484,626.2186367,1151.038812,205.0727449,478.5030713,2460.833265,,,,,,,,
5485,716.0365682,1070.787102,176.159442,411.038698,2374.02181,,,,,,,,
5486,826.683903,1029.514794,208.0260252,485.3940587,2549.618781,,,,,,,,
5487,825.2813732,930.919836,281.9659229,657.9204868,2696.087619,,,,,,,,
5488,823.8532773,777.295134,288.7427391,673.7330579,2563.624208,,,,,,,,
5489,835.3075667,646.599492,430.849205,1005.314812,2918.071075,,,,,,,,
5490,801.5055257,451.702482,876.5092766,2045.188312,4174.905597,,,,,,,,
5491,698.7304473,343.9359,1003.695806,2341.956882,4388.319036,,,,,,,,
5492,593.9194188,314.128122,1465.496943,3419.492867,5793.03735,,,,,,,,
5493,491.3843359,252.21966,1587.162235,3703.378549,6034.144781,,,,,,,,
5494,443.2653552,181.139574,1421.118548,3315.943278,5361.466755,,,,,,,,
5495,403.0049344,126.10983,1310.324086,3057.422866,4896.861716,,,,,,,,
5496,369.4915059,139.867266,1162.99736,2713.660506,4386.016638,,,,,,,,
5497,321.4053553,149.03889,1025.35493,2392.494836,3888.294011,,,,,,,,
5498,306.2160146,114.6453,1093.432383,2551.342228,4065.635926,,,,,,,,
5499,267.254405,144.453078,1042.207633,2431.817811,3885.732928,,,,,,,,
5500,252.6822911,165.089232,965.4676004,2252.757734,3635.996858,,,,,,,,
5501,256.3766558,162.796326,946.7141735,2208.999738,3574.886894,,,,,,,,
5502,243.7782696,217.82607,903.9011908,2109.102779,3474.608309,,,,,,,,
5503,220.7966274,401.25855,635.8528743,1483.656707,2741.564758,,,,,,,,
5504,229.3610812,525.075474,411.0145687,959.0339936,2124.485117,,,,,,,,
5505,288.0293264,642.01368,387.5960779,904.3908484,2222.029933,,,,,,,,
5506,404.7511755,882.76881,287.2036209,670.141782,2244.865388,,,,,,,,
5507,501.6187423,1063.908384,311.6126542,727.0961932,2604.235974,,,,,,,,
5508,614.9148425,1151.038812,384.5774469,897.347376,3047.878477,,,,,,,,
5509,685.2049611,1070.787102,408.0771956,952.180123,3116.249382,,,,,,,,
5510,749.8324639,1029.514794,454.3793574,1060.218501,3293.945116,,,,,,,,
5511,775.8623176,930.919836,532.0145657,1241.36732,3480.164039,,,,,,,,
5512,788.3648987,777.295134,642.4561995,1499.064465,3707.180698,,,,,,,,
5513,807.0053241,646.599492,802.5713208,1872.666415,4128.842552,,,,,,,,
5514,759.0332602,451.702482,810.6980314,1891.62874,3913.062513,,,,,,,,
5515,677.5855721,343.9359,704.7263311,1644.361439,3370.609243,,,,,,,,
