,Emissions/Supply (C02 kg/kWh),Supply (GWh),Emissions (mmTh)
98,0.274767626388574,66165,18180
99,0.26160978946568364,92099,24094
100,0.25449373036771117,118109,30058
101,0.2611090575692346,137973,36026
102,0.2532277333398019,164899,41757
103,0.24742000322012683,192539,47638
104,0.24106951187762912,218941,52780
105,0.23251220649213633,244542,56859
106,0.22625675423886715,268350,60716
107,0.21900340451872485,290790,63684
108,0.21274778291081733,312572,66499
109,0.20755049810445245,334468,69419
110,0.20274196528038246,357262,72432
111,0.19923582502594422,381588,76026
112,0.19707516444217382,407134,80236
113,0.1976371952963574,437023,86372
114,0.19858423744772535,471548,93642
115,0.199746233898265,507554,101382
116,0.2012689253144712,543452,109380
117,0.20301659802647945,578864,117519
118,0.20453818850886693,613064,125395
119,0.20603038407250576,646128,133122
120,0.3218482374029078,20084,6464
121,0.3218744482836894,39649,12762
122,0.2893835616438356,65408,18928
123,0.29652989393617274,84666,25106
124,0.2834281809927089,111231,31526
125,0.27419735346473073,139881,38355
126,0.2678881545974801,171594,45968
127,0.26379421910197093,205539,54220
128,0.2586762060094497,237892,61537
129,0.25223458574720886,267723,67529
130,0.2471244347793737,295681,73070
131,0.24314357932606573,322435,78398
132,0.23988520430082888,349142,83754
133,0.2373947172787564,375299,89094
134,0.23501998498944024,401051,94255
135,0.2326036753029572,426958,99312
136,0.23171865828000063,454849,105397
137,0.23313129073191163,487026,113541
138,0.23473094628862767,523297,122834
139,0.23621887030879368,560277,132348
140,0.23762396157296023,596455,141732
141,0.23872727733049776,631968,150868
142,0.23965346385994415,666020,159614
143,0.24042908162681287,698888,168033
144,0.2588527568689977,26969,6981
145,0.29219283276450514,46880,13698
146,0.2795077125942612,72803,20349
147,0.27319248112681765,98685,26960
148,0.2698714669395063,125104,33762
149,0.26734204524040056,153889,41141
150,0.2647213600678745,186226,49298
151,0.2638302695106195,220585,58197
152,0.2604025412840047,252943,65867
153,0.25495238095238093,283500,72279
154,0.24921220505725925,312264,77820
155,0.24542256829445894,340584,83587
156,0.24175041329504915,367776,88910
157,0.23891051962715246,395014,94373
158,0.23933069406403618,418045,100051
159,0.23832347930430034,446687,106456
160,0.23835149134898007,476649,113610
161,0.2422233249433527,501789,121545
162,0.24331529442800323,538281,130972
163,0.2439174472833843,575293,140324
164,0.24419249189393358,611579,149343
165,0.2444193685512231,646925,158121
166,0.24448745928195248,680902,166472
167,0.24441033619982758,713415,174366
168,0.30396925770989397,20558,6249
169,0.3038068434306029,40506,12306
170,0.27063806777217014,66576,18018
171,0.2565480476768806,93043,23870
172,0.24910525527275149,120146,29929
173,0.2427667994758938,149588,36315
174,0.23838361594362475,181640,43300
175,0.2354361633721764,216169,50894
176,0.23151925980659877,249016,57652
177,0.22695351808105968,280238,63601
178,0.22797833994220923,304893,69509
179,0.2244323019517281,334729,75124
180,0.22103886397608372,363936,80444
181,0.21784224424968426,391935,85380
182,0.21505534985103608,420236,90374
183,0.21246601101477336,448307,95250
184,0.21184202534614813,477469,101148
185,0.21506790706930004,502525,108077
186,0.21532179899956552,538566,115965
187,0.21574539072410379,575470,124155
188,0.21637578847599437,611940,132409
189,0.21679665475688442,647367,140347
190,0.21696364243414695,682884,148161
191,0.2168353072020742,716613,155387
192,0.20680302030642914,27282,5642
193,0.20608164865318923,53571,11040
194,0.20667068969852406,79542,16439
195,0.20689066221332397,105389,21804
196,0.21828546860195705,125597,27416
197,0.22790012090912795,147218,33551
198,0.23538964832340226,171180,40294
199,0.24170714746176533,197007,47618
200,0.23707623600562833,228842,54253
201,0.2305767020694017,259302,59789
202,0.2254753665830933,289566,65290
203,0.225265805055071,314140,70765
204,0.2212157809983897,342792,75831
205,0.217969198277,371213,80913
206,0.21451418331439556,399554,85710
207,0.21159135973855414,427163,90384
208,0.21015700089108022,456749,95989
209,0.21299624007104856,481924,102648
210,0.2136599133931333,517280,110522
211,0.21437763398940538,554055,118777
212,0.21891036158073676,582083,127424
213,0.22339867136881816,609650,136195
214,0.22463417208346526,644292,144730
215,0.22553148135570197,677258,152743
216,0.30522940538501436,21207,6473
217,0.2663917178688663,47524,12660
218,0.2613005016451804,74156,19377
219,0.25947516104809704,101212,26262
220,0.2561304933189102,128497,32912
221,0.25260843949750716,157853,39875
222,0.25008537757905963,190331,47599
223,0.2498524144114553,225293,56290
224,0.24782563175915406,257891,63912
225,0.24238231961235512,287686,69730
226,0.23761464686068404,314989,74846
227,0.23300526838878774,341091,79476
228,0.23121796443139533,363073,83949
229,0.22951663603012867,384617,88276
230,0.2283420789144163,406491,92819
231,0.22752390775736134,428522,97499
232,0.22805186401540586,451257,102910
233,0.22877255367603938,482571,110399
234,0.23425554722256034,509354,119319
235,0.23944601227565268,536835,128543
236,0.2400873171796551,572625,137480
237,0.24038206900862402,607953,146141
238,0.24072441190216545,641900,154521
239,0.24087536058298079,674602,162495
240,0.24374010649014247,27796,6775
241,0.24009891921597362,54590,13107
242,0.23810646189725967,80611,19194
243,0.23688157327384188,106682,25271
244,0.23615456350400096,132968,31401
245,0.24604904276560483,153254,37708
246,0.25328271115005124,174627,44230
247,0.2493127863390254,204085,50881
248,0.2434515897290298,232461,56593
249,0.2363559158463617,259050,61228
250,0.22878301514895535,284112,65000
251,0.2233648196838381,308070,68812
252,0.21881167204804008,331390,72512
253,0.21482334739326592,354198,76090
254,0.2115939645384803,376972,79765
255,0.20852577440619074,400339,83481
256,0.20878922745518558,421516,88008
257,0.2088214824911116,449743,93916
258,0.20951518329599084,482471,101085
259,0.21008818014524472,516783,108570
260,0.21095636700379497,550730,116180
261,0.2117836821566717,584011,123684
262,0.21240531670335838,616397,130926
263,0.21537608199743757,640020,137845
264,0.24084154774165073,27188,6548
265,0.27910868229861685,47211,13177
266,0.26663772166668925,73703,19652
267,0.2572773156463541,99659,25640
268,0.25171146903416564,125477,31584
269,0.2479927641194707,152573,37837
270,0.2453517844619556,181091,44431
271,0.2432622864188832,210049,51097
272,0.23907826871739507,237119,56690
273,0.23254907058364746,261562,60826
274,0.22601391350646985,285478,64522
275,0.221186232090577,308776,68297
276,0.21784574427856182,330555,72010
277,0.21401364862720204,352856,75516
278,0.21055835728166697,376157,79203
279,0.20825965489729206,399823,83267
280,0.20609587666591905,423565,87295
281,0.20561799989824067,452047,92949
282,0.2063167003172772,485380,100142
283,0.20697510785060097,520164,107661
284,0.20749277980291836,554694,115095
285,0.20785567644027245,588899,122406
286,0.20826125540986348,622012,129541
287,0.2087226126498553,653130,136323
288,0.2183832865222577,25991,5676
289,0.24861209023616496,45392,11285
290,0.262620962140972,64793,17016
291,0.25321265564762707,90268,22857
292,0.2477358539249499,116269,28804
293,0.24293769636775997,144181,35027
294,0.238984406237505,175070,41839
295,0.23683325647529013,208176,49303
296,0.232754043670386,239201,55675
297,0.2266962076953881,267199,60573
298,0.221490921132136,292933,64882
299,0.2168938900305749,319216,69236
300,0.21198991008584564,344106,72947
301,0.20939808581591215,369139,77297
302,0.20649846997727186,393785,81316
303,0.20386775602722923,418227,85263
304,0.20249651387701859,444620,90034
305,0.20362722250083232,474578,96637
306,0.20622411944643892,508345,104833
307,0.20832022200017297,543423,113206
308,0.20990856635290173,578671,121468
309,0.21135106297934406,612947,129547
310,0.21483520350314736,639425,137371
311,0.21570739439662237,671238,144791
312,0.2978426273716652,20766,6185
