hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1723,0.092488114,0.029174195,0.3126801,0,0,0,0,0,0,0,0,0.030829371,0.022299426,0.061658742,0,0.583567612
1724,0.123317485,0.120130825,0.324841189,0,0,0,0,0,0,0,0,0.123317485,0.069289823,0.123317485,0,0.729675781
1725,0.126051044,0.123317485,0.331763258,0,0,0,0,0,0,0,0.030829371,0.135393028,0.100897693,0.161951807,0,0.73992078
1726,0.165971705,0.123317485,0.3399838,0.031830639,0.00469879,0.010236349,0,0,0,0.092488114,0.123317485,0.18657321,0.137678808,0.243605215,0,0.762578465
1727,0.241733724,0.178547483,0.365177441,0.163680528,0.039762968,0.064107221,0,0,0,0.147880394,0.17343219,0.261967641,0.289528709,0.325222633,0,0.82368734
1728,0.285865021,0.265849591,0.39917209,0.23624774,0.091927279,0.111661778,0.005238842,0.00369547,0,0.243163919,0.265681188,0.319382204,0.351466616,0.394919579,0,0.902128253
1729,0.315814164,0.334058519,0.437218643,0.296420831,0.128332183,0.140521456,0.047219113,0.055948063,0.01107591,0.302185137,0.337087977,0.367702029,0.414352446,0.49734829,0,0.987906357
1730,0.346564686,0.383434171,0.469569065,0.340801307,0.189127663,0.175767056,0.085592712,0.12918485,0.060515556,0.357333475,0.402411731,0.402169983,0.537601691,0.600780117,0,1.101788327
1731,0.375924283,0.422613213,0.498243337,0.374395304,0.370720482,0.230124331,0.121907673,0.292809768,0.117469886,0.397416676,0.444968514,0.427089697,0.800028881,0.647717501,0,1.178180905
1732,0.426217614,0.619609756,0.529318058,0.408384093,0.627120217,0.366729877,0.154276186,0.3369662,0.169150074,0.438837727,0.562645657,0.445425247,0.852814938,0.721648845,0,1.225853449
1733,0.462901108,0.818342493,0.539244156,0.401573498,0.788627727,0.392276933,0.171011499,0.355724842,0.306535824,0.630396653,0.683094189,0.46045937,0.8602836,0.886552312,0.000945874,1.253291132
1734,0.547584318,0.841884517,0.529931223,0.385001264,0.792939911,0.398858051,0.177143833,0.370183773,0.334612077,0.700352855,0.802973637,0.471573445,0.833335536,1.05361104,0.009897269,1.262336438
1735,0.538825414,0.828121443,0.494461868,0.368311283,0.469559672,0.338100127,0.173335975,0.281720563,0.308181824,0.41644031,0.698362971,0.473114562,0.729514287,0.768615478,0,1.317145812
1736,0.349641413,0.488952339,0.386085266,0.267224521,0.146324298,0.169070268,0.077184684,0.030378556,0.106387571,0.156320057,0.435898972,0.441769277,0.342878552,0.474673948,0,1.060696656
1737,0.195043309,0.333389736,0.293199105,0.139870514,0.014886906,0.020665461,0,0,0,0,0.257406229,0.418843202,0.20180078,0.305074968,0,0.808271942
1738,0.16028741,0.143980467,0.118134154,0.032542983,0,0,0,0,0,0,0.022887316,0.381579992,0.033599201,0.225291593,0,0.453268028
1739,0.113886234,0.072165067,0.048951535,0,0,0,0,0,0,0,0,0.318866341,0,0.095910554,0,0.344113494
1740,0.088656573,0.073124307,0.00316603,0.005249585,0,0,0,0,0,0,0,0.280162408,0,0.017682637,0,0.336799729
1741,0.07171164,0.066332856,0,0.058108153,0,0,0,0,0,0,0,0.282681074,0,0,0,0.344553254
1742,0.043286873,0.057729294,0,0.044017517,0,0,0,0,0,0,0,0.261781256,0,0,0,0.328402886
1743,0.02760984,0.070627477,0,0.069771278,0,0,0,0,0,0,0,0.227549648,0,0,0,0.30970684
1744,0.050390085,0.084280033,0,0.120923863,0,0,0,0,0,0,0,0.219743441,0,0,0,0.326679301
1745,0.061856112,0.107998686,0,0.08575542,0,0,0,0,0,0,0,0.213807056,0,0,0,0.348542675
1746,0.061863716,0.126006865,0,0.090836688,0,0,0,0,0,0,0,0.198866788,0,0,0,0.360706763
1747,0.073972809,0.150688042,0,0.282664898,0,0,0,0,0,0,0,0.177752983,0,0.061658742,0,0.372980764
1748,0.084931272,0.177564197,0,0.328030283,0.092488114,0,0,0,0,0,0,0.16988236,0,0.123317485,0,0.383334666
1749,0.229022211,0.176886696,0,0.338826785,0.123317485,0,0,0,0,0,0,0.170220841,0,0.151386909,0,0.398495173
1750,0.27077842,0.19618578,0,0.339351655,0.159155743,0,0,0,0,0,0,0.17931131,0.123317485,0.217611931,0,0.420561361
1751,0.304057097,0.230526533,0,0.369289146,0.252598458,0.012487561,0,0,0,0,0,0.209614718,0.160954309,0.316882646,0,0.528310471
1752,0.328597381,0.242979174,0.052466174,0.412391026,0.330239028,0.062147507,0,0,0.000505193,0.012613766,0.172552263,0.308207451,0.245059358,0.373753599,0,0.791862643
1753,0.364846069,0.266616017,0.191538956,0.446840197,0.38950444,0.127340539,0,0.001105723,0.040085037,0.198120314,0.260273744,0.362887711,0.305915631,0.479445958,0,0.850331673
1754,0.377542253,0.288324358,0.300331059,0.471254036,0.430245307,0.181631132,0.021023199,0.018107592,0.085085916,0.270416223,0.333428432,0.394241165,0.358506275,0.571612521,0.020484089,0.886971093
1755,0.393838683,0.29826816,0.336207526,0.474059209,0.612647727,0.272082115,0.043686234,0.046803882,0.11010951,0.321413435,0.391260965,0.425282201,0.409922258,0.590302952,0.076720053,0.906835971
1756,0.408275497,0.300582484,0.360235025,0.482855301,0.854693984,0.352023765,0.057622358,0.086350136,0.139036478,0.372404789,0.431987141,0.456558994,0.453275889,0.630866095,0.130029162,0.92576591
1757,0.416395446,0.294469177,0.380945045,0.493692608,0.904994453,0.380276112,0.089544421,0.108450121,0.187414158,0.419038939,0.456963552,0.474370319,0.619199441,0.782935793,0.190831592,0.943719136
1758,0.412236802,0.275929661,0.395045231,0.56845377,0.85313766,0.397309878,0.122072431,0.130820815,0.221575928,0.441953037,0.662863312,0.480540539,0.777378804,0.948315119,0.326968998,0.945279111
1759,0.38400411,0.208791672,0.381065936,0.468924814,0.513573728,0.337143032,0.075518273,0.142486946,0.243751665,0.354561592,0.576022105,0.451697308,0.722699954,0.654487923,0.109996355,0.972232653
1760,0.308430128,0.097319687,0.278835365,0.320979819,0.161788292,0.149319475,0.028270694,0.140700617,0.21838721,0.090357215,0.330778377,0.343880643,0.399963252,0.436738798,0,0.933628791
1761,0.192839959,0.097951972,0.078376031,0.26371403,0.01144182,0.006085753,0.073731696,0.160205105,0.193657683,0,0.164336728,0.269736647,0.206820472,0.272701728,0,0.892980882
1762,0.075118175,0.123826469,0.006786055,0.147597857,0,0,0.101054771,0.152047242,0.12853402,0,0.041145363,0.143182013,0.035535968,0.136102442,0,0.537332014
1763,0.070444622,0.1296698,0,0.057648731,0,0,0.140425925,0.095668692,0.022142979,0,0,0.046899978,0,0.072345278,0,0.496055728
1764,0.099971942,0.119970318,0,0.035131865,0,0,0.076280913,0.011605849,0,0,0,0.000633555,0,0.001338106,0,0.444067826
1765,0.131220971,0.106751806,0,0.000553717,0,0,4.92E-05,0,0,0,0,0,0,0,0,0.408813405
1766,0.144969159,0.12049927,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394361777
1767,0.15595014,0.122176996,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398050359
1768,0.147668408,0.158814705,0,0,0.00217863,0,0,0,0,0,0,0,0,0,0,0.406724665
1769,0.131281303,0.293761102,0,0,0.037112505,0,0,0,0,0,0,0,0,0,0,0.415469996
1770,0.13872574,0.296823515,0,0,0.043575736,0,0,0,0,0,0.001496233,0,0,0,0,0.676223262
1771,0.162943713,0.327796929,0.001107461,0,0.035563523,0,0,0,0,0,0.006839599,0,0,0,0,0.695651183
1772,0.286872842,0.36179881,0.007408762,0.030829371,0.051740887,0,0,0,0,0,0.025746506,0,0,0,0,0.725756797
1773,0.305138939,0.382824308,0.003195005,0.128823677,0.069470572,0,0.013241338,0,0,0,0.092511513,0,0,0.095202998,0,0.768763445
1774,0.312831789,0.402764931,0.00137722,0.157444016,0.092423758,0,0.054307957,0.019339047,0.017745259,0,0.155171689,0,0,0.274574304,0,0.823824791
1775,0.350897511,0.424270718,0.013934809,0.234773414,0.136588375,0,0.096832084,0.081956615,0.060895708,0,0.215612389,0.021973448,0,0.354496565,0,0.89709594
1776,0.386087066,0.451506593,0.038464752,0.282894831,0.183553875,0,0.127613131,0.228463324,0.149426874,0.149159467,0.330062568,0.208707195,0.037463227,0.401673316,0,0.959073105
1777,0.415069935,0.64610072,0.083297451,0.346487219,0.237896425,0.034630635,0.174239279,0.316674958,0.210877431,0.225081183,0.412427104,0.275457755,0.100986451,0.450878031,0,1.012639196
1778,0.428543142,0.863667924,0.103137932,0.412908128,0.262935547,0.108725583,0.201843198,0.36166359,0.277611191,0.280208909,0.410176643,0.324978796,0.14606224,0.489754139,0,1.080062571
1779,0.42394451,0.926750641,0.101399154,0.46429268,0.321000337,0.200751032,0.223160599,0.392154661,0.295086469,0.328306711,0.401893484,0.371466309,0.174044283,0.527094875,0,1.188061907
1780,0.428370004,1.010168541,0.110377714,0.502483162,0.386770661,0.329172021,0.219683078,0.414494554,0.278469616,0.384741834,0.419625019,0.410783404,0.197012177,0.537724435,0,1.301142942
1781,0.41934379,1.095687304,0.111872846,0.519493393,0.40721236,0.352261063,0.231778635,0.43514827,0.28122015,0.434722242,0.451580262,0.443708162,0.210608053,0.576183572,0.020547869,1.371305633
1782,0.327661932,1.113725181,0.103729502,0.534344195,0.40491047,0.351316891,0.248762238,0.442388515,0.30458913,0.455938515,0.447830986,0.464869019,0.213702736,0.758006127,0.067975874,1.40677074
1783,0.304402295,1.019548415,0.092958424,0.718894825,0.363732182,0.239487208,0.096879506,0.339709126,0.22317535,0.376417999,0.427100388,0.585954895,0.201472863,0.899060826,0.004503688,1.422436385
1784,0.2284235,0.825595592,0.076649255,0.549393923,0.2069089,0.021536065,3.62E-06,0.092018427,0.084766181,0.095198835,0.414911808,0.33471042,0.171338011,0.85918824,0,1.165663017
1785,0.153162243,0.583890214,0.085184426,0.704277534,0.061691657,0,0,0.000194847,0.018402969,0,0.422945256,0.185198753,0.155101729,0.825861362,0,0.945104584
1786,0.058503093,0.290945643,0.091806661,0.593793112,0.007590619,0,0,0,0.013254438,0,0.399767196,0.01163257,0.128697842,0.535874349,0,0.475225139
1787,0.001799229,0.039633733,0.085219686,0.477853364,0.002244826,0,0,0,0,0,0.366954319,0,0.117791295,0.365835738,0,0.416934083
1788,0,0,0.068981111,0.422108621,0,0,0,0,0,0,0.341355142,0,0.12230674,0.240431363,0,0.390356853
1789,0,0,0.062132089,0.344004374,0,0,0,0,0,0,0.319528698,0,0.148933279,0.223733651,0,0.363628626
1790,0,0,0.041083617,0.217058539,0,0,0,0,0,0,0.354458898,0,0.135489181,0.176005482,0,0.338413754
1791,0,0,0.016942793,0.168135209,0,0,0,0,0,0,0.330503744,0,0.103673506,0.142280255,0,0.328838471
1792,0,0,0.004210748,0.131354361,0,0,0,0,0,0,0.277931244,0,0.094981856,0.229887685,0,0.331420897
1793,0,0,0.000493189,0.10027934,0,0,0,0,0,0,0.34386038,0,0.113339589,0.245106346,0,0.338285522
1794,0,0,0.001345346,0.151926873,0,0,0,0,0,0,0.365000635,0,0.131994089,0.287217438,0,0.346364554
1795,0,0,0.003819314,0.289465725,0.061658742,0,0,0,0,0,0.374499612,0,0.145498815,0.368466425,0,0.374947379
1796,0.009228849,0.042784609,0.004361149,0.301755993,0.123317485,0,0,0,0,0,0.38093767,0,0.258577948,0.432488579,0,0.505175645
1797,0.034770076,0.216384538,0.004459531,0.308902955,0.144470892,0,0,0,0,0,0.392953293,0,0.272343595,0.463216679,0,0.650557484
1798,0.073748935,0.276615808,0.009249955,0.33448457,0.210089821,0,0,0,0,0,0.409559325,0,0.293680124,0.479569056,0,0.698875885
1799,0.133249293,0.327957323,0.038374888,0.382597594,0.295198873,0,0.010250566,0.035942897,0,0.092488114,0.441860498,0.000260366,0.332128394,0.530630215,0,0.762956306
1800,0.234432879,0.377215526,0.084788539,0.485221882,0.353287959,0.031277409,0.161603529,0.176327308,0.033501146,0.173253077,0.467512576,0.10972055,0.373124255,0.600744443,0,0.738219179
1801,0.325079285,0.391846967,0.133898043,0.724923934,0.391593826,0.084061755,0.255154314,0.149843645,0.169677117,0.248133786,0.502026213,0.239526072,0.410984097,0.653292518,0,0.521334503
1802,0.369689758,0.4197725,0.178578509,0.792358574,0.417872964,0.13345368,0.28198391,0.17087692,0.271707345,0.299615576,0.532496795,0.302485061,0.434778846,0.761769583,0,0.529559942
1803,0.406579288,0.44513817,0.224140654,0.802740958,0.436114583,0.191015761,0.215387337,0.215632176,0.310902755,0.350082441,0.543171993,0.369351862,0.448598173,0.84473446,0,0.542067714
1804,0.430992035,0.459894812,0.305014142,0.887552872,0.474667767,0.328887852,0.268678607,0.223708465,0.346736508,0.40214438,0.53679827,0.437367393,0.460011365,0.778701046,0.004525823,0.555767232
1805,0.565166464,0.444420046,0.369181932,0.976173177,0.491948313,0.354213115,0.356038196,0.25002551,0.349259471,0.433967188,0.846568604,0.475926656,0.466193893,0.804137459,0.025781175,0.655954205
1806,0.573586489,0.444384352,0.383741129,1.05536326,0.486533441,0.361369857,0.353430433,0.248867715,0.349302868,0.454916781,0.880110651,0.488321213,0.463461724,0.849784084,0.071150249,0.927655259
1807,0.440076682,0.455292656,0.368959442,0.866199215,0.433516258,0.286160643,0.178328043,0.187160287,0.314196575,0.407700662,0.844483877,0.457243417,0.440692595,0.72257827,0.051971866,0.871734134
1808,0.26931995,0.441625838,0.260379107,0.420403984,0.292676847,0.085868306,0.073301396,0.106336564,0.225428418,0.363217774,0.516094214,0.352528609,0.356972078,0.61307848,0.0058382,0.748910343
1809,0.036331769,0.418754774,0.042346387,0.142384636,0.210068475,0.001588329,0.012795315,0.119253723,0.227461589,0.275866219,0.2704172,0.202621985,0.233786222,0.551614581,0,0.698925384
1810,0,0.29428612,0,0.049236915,0.230907252,0,0.010048737,0.145686515,0.226544444,0.116180141,0.133687146,0.070786538,0.042425929,0.461674161,0,0.646612724
