i,cluster,kwh_ann_tot,customer_count,util,slap,sector,building_type,care,kwh_bin,kw_bin,poolpump_penetration,hvac_penetration,weather_station,bev_count,bev_work_count,phev_count,phev_work_count,battery_kwh_per_customer,cluster_oldname
395,pge-com-PGP2-retail-gt200kW-nonCare-0.5_0.75,57990358.2,27,pge,PGP2,com,retail,nonCare,0.5_0.75,>200kW,NA,0,724940,NA,NA,NA,NA,NA,pge-com-PGP2-retail->200kW-nonCare-0.5_0.75
396,pge-com-PGP2-retail-gt200kW-nonCare-0.75_1.0,101740473.5,28,pge,PGP2,com,retail,nonCare,0.75_1.0,>200kW,NA,0.222222222,724945,NA,NA,NA,NA,NA,pge-com-PGP2-retail->200kW-nonCare-0.75_1.0
397,pge-com-PGSA-com_other-noKW-nonCare-0.0_0.1,346762.8731,1869,pge,PGSA,com,com_other,nonCare,0.0_0.1,noKW,NA,0.035714286,745160,NA,NA,NA,NA,NA,pge-com-PGSA-com_other-noKW-nonCare-0.0_0.1
398,pge-com-PGSA-com_other-noKW-nonCare-0.1_0.2,1752813.803,1866,pge,PGSA,com,com_other,nonCare,0.1_0.2,noKW,NA,0.181818182,724838,NA,NA,NA,NA,NA,pge-com-PGSA-com_other-noKW-nonCare-0.1_0.2
399,pge-com-PGSA-com_other-noKW-nonCare-0.2_0.3,4710340.113,1867,pge,PGSA,com,com_other,nonCare,0.2_0.3,noKW,NA,0.2,724839,NA,NA,NA,NA,NA,pge-com-PGSA-com_other-noKW-nonCare-0.2_0.3
400,pge-com-PGSA-com_other-noKW-nonCare-0.3_0.4,8786761.984,1867,pge,PGSA,com,com_other,nonCare,0.3_0.4,noKW,NA,0.390243902,724839,NA,NA,NA,NA,NA,pge-com-PGSA-com_other-noKW-nonCare-0.3_0.4
401,pge-com-PGSA-com_other-noKW-nonCare-0.4_0.5,14496010.46,1867,pge,PGSA,com,com_other,nonCare,0.4_0.5,noKW,NA,0.441176471,724839,NA,NA,NA,NA,NA,pge-com-PGSA-com_other-noKW-nonCare-0.4_0.5
402,pge-com-PGSA-com_other-noKW-nonCare-0.5_0.6,22125704.94,1867,pge,PGSA,com,com_other,nonCare,0.5_0.6,noKW,NA,0.405405405,724839,NA,NA,NA,NA,NA,pge-com-PGSA-com_other-noKW-nonCare-0.5_0.6
403,pge-com-PGSA-com_other-noKW-nonCare-0.6_0.7,35432515.31,1867,pge,PGSA,com,com_other,nonCare,0.6_0.7,noKW,NA,0.441176471,724839,NA,NA,NA,NA,NA,pge-com-PGSA-com_other-noKW-nonCare-0.6_0.7
404,pge-com-PGSA-com_other-noKW-nonCare-0.7_0.8,61935174.69,1867,pge,PGSA,com,com_other,nonCare,0.7_0.8,noKW,NA,0.518518519,724839,NA,NA,NA,NA,NA,pge-com-PGSA-com_other-noKW-nonCare-0.7_0.8
405,pge-com-PGSA-com_other-noKW-nonCare-0.8_0.9,121326552.4,1867,pge,PGSA,com,com_other,nonCare,0.8_0.9,noKW,NA,0.590909091,724839,NA,NA,NA,NA,NA,pge-com-PGSA-com_other-noKW-nonCare-0.8_0.9
406,pge-com-PGSA-com_other-noKW-nonCare-0.9_1.0,717637380.7,1867,pge,PGSA,com,com_other,nonCare,0.9_1.0,noKW,NA,0.215686275,724839,NA,NA,NA,NA,NA,pge-com-PGSA-com_other-noKW-nonCare-0.9_1.0
407,pge-com-PGSA-office-50_200kW-nonCare-0.0_0.5,23814959.39,178,pge,PGSA,com,office,nonCare,0.0_0.5,50_200kW,NA,1,724839,NA,NA,NA,NA,NA,pge-com-PGSA-office-50_200kW-nonCare-0.0_0.5
408,pge-com-PGSA-office-50_200kW-nonCare-0.5_1.0,72105196.91,177,pge,PGSA,com,office,nonCare,0.5_1.0,50_200kW,NA,0.9,724839,NA,NA,NA,NA,NA,pge-com-PGSA-office-50_200kW-nonCare-0.5_1.0
409,pge-com-PGSA-office-lt50kW-nonCare-0.0_0.1,639599.1311,996,pge,PGSA,com,office,nonCare,0.0_0.1,<50kW,NA,0.648148148,724839,NA,NA,NA,NA,NA,pge-com-PGSA-office-<50kW-nonCare-0.0_0.1
410,pge-com-PGSA-office-lt50kW-nonCare-0.1_0.2,2506929.843,996,pge,PGSA,com,office,nonCare,0.1_0.2,<50kW,NA,0.844444444,724839,NA,NA,NA,NA,NA,pge-com-PGSA-office-<50kW-nonCare-0.1_0.2
411,pge-com-PGSA-office-lt50kW-nonCare-0.2_0.3,4151958.311,996,pge,PGSA,com,office,nonCare,0.2_0.3,<50kW,NA,0.603773585,745160,NA,NA,NA,NA,NA,pge-com-PGSA-office-<50kW-nonCare-0.2_0.3
412,pge-com-PGSA-office-lt50kW-nonCare-0.3_0.4,5516833.049,996,pge,PGSA,com,office,nonCare,0.3_0.4,<50kW,NA,0.649122807,724839,NA,NA,NA,NA,NA,pge-com-PGSA-office-<50kW-nonCare-0.3_0.4
413,pge-com-PGSA-office-lt50kW-nonCare-0.4_0.5,7472197.57,996,pge,PGSA,com,office,nonCare,0.4_0.5,<50kW,NA,0.75862069,724839,NA,NA,NA,NA,NA,pge-com-PGSA-office-<50kW-nonCare-0.4_0.5
414,pge-com-PGSA-office-lt50kW-nonCare-0.5_0.6,10330935.5,996,pge,PGSA,com,office,nonCare,0.5_0.6,<50kW,NA,0.933333333,724839,NA,NA,NA,NA,NA,pge-com-PGSA-office-<50kW-nonCare-0.5_0.6
415,pge-com-PGSA-office-lt50kW-nonCare-0.6_0.7,14689325.77,996,pge,PGSA,com,office,nonCare,0.6_0.7,<50kW,NA,0.97826087,724839,NA,NA,NA,NA,NA,pge-com-PGSA-office-<50kW-nonCare-0.6_0.7
416,pge-com-PGSA-office-lt50kW-nonCare-0.7_0.8,21635707.95,996,pge,PGSA,com,office,nonCare,0.7_0.8,<50kW,NA,0.979166667,724839,NA,NA,NA,NA,NA,pge-com-PGSA-office-<50kW-nonCare-0.7_0.8
417,pge-com-PGSA-office-lt50kW-nonCare-0.8_0.9,35616851.66,996,pge,PGSA,com,office,nonCare,0.8_0.9,<50kW,NA,0.98,724839,NA,NA,NA,NA,NA,pge-com-PGSA-office-<50kW-nonCare-0.8_0.9
418,pge-com-PGSA-office-lt50kW-nonCare-0.9_1.0,85887291.24,996,pge,PGSA,com,office,nonCare,0.9_1.0,<50kW,NA,0.982758621,724839,NA,NA,NA,NA,NA,pge-com-PGSA-office-<50kW-nonCare-0.9_1.0
419,pge-com-PGSA-office-gt200kW-nonCare-0.0_1.0,181634575.8,114,pge,PGSA,com,office,nonCare,0.0_1.0,>200kW,NA,0.117647059,724839,NA,NA,NA,NA,NA,pge-com-PGSA-office->200kW-nonCare-0.0_1.0
420,pge-com-PGSA-retail-50_200kW-nonCare-0.0_0.25,17276052.43,122,pge,PGSA,com,retail,nonCare,0.0_0.25,50_200kW,NA,1,724839,NA,NA,NA,NA,NA,pge-com-PGSA-retail-50_200kW-nonCare-0.0_0.25
421,pge-com-PGSA-retail-50_200kW-nonCare-0.25_0.5,30915978.59,122,pge,PGSA,com,retail,nonCare,0.25_0.5,50_200kW,NA,1,724839,NA,NA,NA,NA,NA,pge-com-PGSA-retail-50_200kW-nonCare-0.25_0.5
422,pge-com-PGSA-retail-50_200kW-nonCare-0.5_0.75,41621665.44,122,pge,PGSA,com,retail,nonCare,0.5_0.75,50_200kW,NA,1,745160,NA,NA,NA,NA,NA,pge-com-PGSA-retail-50_200kW-nonCare-0.5_0.75
423,pge-com-PGSA-retail-50_200kW-nonCare-0.75_1.0,66827959.97,122,pge,PGSA,com,retail,nonCare,0.75_1.0,50_200kW,NA,0.875,745160,NA,NA,NA,NA,NA,pge-com-PGSA-retail-50_200kW-nonCare-0.75_1.0
424,pge-com-PGSA-retail-lt50kW-nonCare-0.0_0.1,419658.7049,324,pge,PGSA,com,retail,nonCare,0.0_0.1,<50kW,NA,0.705882353,745160,NA,NA,NA,NA,NA,pge-com-PGSA-retail-<50kW-nonCare-0.0_0.1
425,pge-com-PGSA-retail-lt50kW-nonCare-0.1_0.2,1583482.692,324,pge,PGSA,com,retail,nonCare,0.1_0.2,<50kW,NA,1,724839,NA,NA,NA,NA,NA,pge-com-PGSA-retail-<50kW-nonCare-0.1_0.2
426,pge-com-PGSA-retail-lt50kW-nonCare-0.2_0.3,2809880.809,323,pge,PGSA,com,retail,nonCare,0.2_0.3,<50kW,NA,0.894736842,724839,NA,NA,NA,NA,NA,pge-com-PGSA-retail-<50kW-nonCare-0.2_0.3
427,pge-com-PGSA-retail-lt50kW-nonCare-0.3_0.4,4238073.424,324,pge,PGSA,com,retail,nonCare,0.3_0.4,<50kW,NA,0.954545455,724839,NA,NA,NA,NA,NA,pge-com-PGSA-retail-<50kW-nonCare-0.3_0.4
428,pge-com-PGSA-retail-lt50kW-nonCare-0.4_0.5,5959377.483,324,pge,PGSA,com,retail,nonCare,0.4_0.5,<50kW,NA,0.923076923,724839,NA,NA,NA,NA,NA,pge-com-PGSA-retail-<50kW-nonCare-0.4_0.5
429,pge-com-PGSA-retail-lt50kW-nonCare-0.5_0.6,8280033.292,323,pge,PGSA,com,retail,nonCare,0.5_0.6,<50kW,NA,1,745160,NA,NA,NA,NA,NA,pge-com-PGSA-retail-<50kW-nonCare-0.5_0.6
430,pge-com-PGSA-retail-lt50kW-nonCare-0.6_0.7,12066525.05,324,pge,PGSA,com,retail,nonCare,0.6_0.7,<50kW,NA,0.909090909,745160,NA,NA,NA,NA,NA,pge-com-PGSA-retail-<50kW-nonCare-0.6_0.7
431,pge-com-PGSA-retail-lt50kW-nonCare-0.7_0.8,17240745.51,323,pge,PGSA,com,retail,nonCare,0.7_0.8,<50kW,NA,1,745160,NA,NA,NA,NA,NA,pge-com-PGSA-retail-<50kW-nonCare-0.7_0.8
432,pge-com-PGSA-retail-lt50kW-nonCare-0.8_0.9,26468239.3,324,pge,PGSA,com,retail,nonCare,0.8_0.9,<50kW,NA,0.958333333,745160,NA,NA,NA,NA,NA,pge-com-PGSA-retail-<50kW-nonCare-0.8_0.9
433,pge-com-PGSA-retail-lt50kW-nonCare-0.9_1.0,51945179.82,324,pge,PGSA,com,retail,nonCare,0.9_1.0,<50kW,NA,0.944444444,745160,NA,NA,NA,NA,NA,pge-com-PGSA-retail-<50kW-nonCare-0.9_1.0
434,pge-com-PGSA-retail-gt200kW-nonCare-0.0_0.2,27987364.61,34,pge,PGSA,com,retail,nonCare,0.0_0.2,>200kW,NA,0.095238095,724839,NA,NA,NA,NA,NA,pge-com-PGSA-retail->200kW-nonCare-0.0_0.2
435,pge-com-PGSA-retail-gt200kW-nonCare-0.2_0.4,44138415.54,32,pge,PGSA,com,retail,nonCare,0.2_0.4,>200kW,NA,0.086956522,724839,NA,NA,NA,NA,NA,pge-com-PGSA-retail->200kW-nonCare-0.2_0.4
436,pge-com-PGSA-retail-gt200kW-nonCare-0.4_0.6,59627517.19,32,pge,PGSA,com,retail,nonCare,0.4_0.6,>200kW,NA,0.1,724839,NA,NA,NA,NA,NA,pge-com-PGSA-retail->200kW-nonCare-0.4_0.6
437,pge-com-PGSA-retail-gt200kW-nonCare-0.6_0.8,71440743.38,32,pge,PGSA,com,retail,nonCare,0.6_0.8,>200kW,NA,0.130434783,724839,NA,NA,NA,NA,NA,pge-com-PGSA-retail->200kW-nonCare-0.6_0.8
438,pge-com-PGSA-retail-gt200kW-nonCare-0.8_1.0,118993172.7,32,pge,PGSA,com,retail,nonCare,0.8_1.0,>200kW,NA,0.136363636,724839,NA,NA,NA,NA,NA,pge-com-PGSA-retail->200kW-nonCare-0.8_1.0
439,pge-com-PGSB-com_other-noKW-Care-0.0_1.0,7490670.37,69,pge,PGSB,com,office,Care,0.0_1.0,noKW,NA,0.5,724945,NA,NA,NA,NA,NA,pge-com-PGSB-com_other-noKW-Care-0.0_1.0
440,pge-com-PGSB-com_other-noKW-nonCare-0.0_0.1,2007200.073,3341,pge,PGSB,com,com_other,nonCare,0.0_0.1,noKW,NA,0.131868132,724945,NA,NA,NA,NA,NA,pge-com-PGSB-com_other-noKW-nonCare-0.0_0.1
441,pge-com-PGSB-com_other-noKW-nonCare-0.1_0.2,9353193.772,3341,pge,PGSB,com,com_other,nonCare,0.1_0.2,noKW,NA,0.206896552,724945,NA,NA,NA,NA,NA,pge-com-PGSB-com_other-noKW-nonCare-0.1_0.2
442,pge-com-PGSB-com_other-noKW-nonCare-0.2_0.3,17633817.89,3340,pge,PGSB,com,com_other,nonCare,0.2_0.3,noKW,NA,0.350877193,724945,NA,NA,NA,NA,NA,pge-com-PGSB-com_other-noKW-nonCare-0.2_0.3
443,pge-com-PGSB-com_other-noKW-nonCare-0.3_0.4,28412340.35,3341,pge,PGSB,com,com_other,nonCare,0.3_0.4,noKW,NA,0.463414634,724945,NA,NA,NA,NA,NA,pge-com-PGSB-com_other-noKW-nonCare-0.3_0.4
444,pge-com-PGSB-com_other-noKW-nonCare-0.4_0.5,42714353.45,3340,pge,PGSB,com,com_other,nonCare,0.4_0.5,noKW,NA,0.318518519,724945,NA,NA,NA,NA,NA,pge-com-PGSB-com_other-noKW-nonCare-0.4_0.5
445,pge-com-PGSB-com_other-noKW-nonCare-0.5_0.6,64763617.85,3341,pge,PGSB,com,com_other,nonCare,0.5_0.6,noKW,NA,0.472440945,724945,NA,NA,NA,NA,NA,pge-com-PGSB-com_other-noKW-nonCare-0.5_0.6
446,pge-com-PGSB-com_other-noKW-nonCare-0.6_0.7,101370099.1,3340,pge,PGSB,com,com_other,nonCare,0.6_0.7,noKW,NA,0.490566038,724945,NA,NA,NA,NA,NA,pge-com-PGSB-com_other-noKW-nonCare-0.6_0.7
447,pge-com-PGSB-com_other-noKW-nonCare-0.7_0.8,164487256.4,3341,pge,PGSB,com,com_other,nonCare,0.7_0.8,noKW,NA,0.539823009,724945,NA,NA,NA,NA,NA,pge-com-PGSB-com_other-noKW-nonCare-0.7_0.8
448,pge-com-PGSB-com_other-noKW-nonCare-0.8_0.9,293760879.3,3340,pge,PGSB,com,com_other,nonCare,0.8_0.9,noKW,NA,0.675438596,724945,NA,NA,NA,NA,NA,pge-com-PGSB-com_other-noKW-nonCare-0.8_0.9
449,pge-com-PGSB-com_other-noKW-nonCare-0.9_1.0,1575363349,3341,pge,PGSB,com,com_other,nonCare,0.9_1.0,noKW,NA,0.232432432,724945,NA,NA,NA,NA,NA,pge-com-PGSB-com_other-noKW-nonCare-0.9_1.0
450,pge-com-PGSB-office-50_200kW-nonCare-0.0_0.2,25484756.12,218,pge,PGSB,com,office,nonCare,0.0_0.2,50_200kW,NA,0.888888889,724945,NA,NA,NA,NA,NA,pge-com-PGSB-office-50_200kW-nonCare-0.0_0.2
451,pge-com-PGSB-office-50_200kW-nonCare-0.2_0.4,40575839.97,218,pge,PGSB,com,office,nonCare,0.2_0.4,50_200kW,NA,1,724945,NA,NA,NA,NA,NA,pge-com-PGSB-office-50_200kW-nonCare-0.2_0.4
452,pge-com-PGSB-office-50_200kW-nonCare-0.4_0.6,56458947.09,218,pge,PGSB,com,office,nonCare,0.4_0.6,50_200kW,NA,1,724945,NA,NA,NA,NA,NA,pge-com-PGSB-office-50_200kW-nonCare-0.4_0.6
453,pge-com-PGSB-office-50_200kW-nonCare-0.6_0.8,81751111.93,218,pge,PGSB,com,office,nonCare,0.6_0.8,50_200kW,NA,0.833333333,724945,NA,NA,NA,NA,NA,pge-com-PGSB-office-50_200kW-nonCare-0.6_0.8
454,pge-com-PGSB-office-50_200kW-nonCare-0.8_1.0,142174681.5,218,pge,PGSB,com,office,nonCare,0.8_1.0,50_200kW,NA,0.7,724945,NA,NA,NA,NA,NA,pge-com-PGSB-office-50_200kW-nonCare-0.8_1.0
455,pge-com-PGSB-office-lt50kW-nonCare-0.0_0.1,889850.8609,1693,pge,PGSB,com,office,nonCare,0.0_0.1,<50kW,NA,0.357142857,724945,NA,NA,NA,NA,NA,pge-com-PGSB-office-<50kW-nonCare-0.0_0.1
456,pge-com-PGSB-office-lt50kW-nonCare-0.1_0.2,4139219.876,1559,pge,PGSB,com,office,nonCare,0.1_0.2,<50kW,NA,0.666666667,724945,NA,NA,NA,NA,NA,pge-com-PGSB-office-<50kW-nonCare-0.1_0.2
457,pge-com-PGSB-office-lt50kW-nonCare-0.2_0.3,7145740.963,1628,pge,PGSB,com,office,nonCare,0.2_0.3,<50kW,NA,0.590909091,724945,NA,NA,NA,NA,NA,pge-com-PGSB-office-<50kW-nonCare-0.2_0.3
458,pge-com-PGSB-office-lt50kW-nonCare-0.3_0.4,9757304.134,1624,pge,PGSB,com,office,nonCare,0.3_0.4,<50kW,NA,0.583333333,724945,NA,NA,NA,NA,NA,pge-com-PGSB-office-<50kW-nonCare-0.3_0.4
459,pge-com-PGSB-office-lt50kW-nonCare-0.4_0.5,13433679.75,1626,pge,PGSB,com,office,nonCare,0.4_0.5,<50kW,NA,0.740740741,724945,NA,NA,NA,NA,NA,pge-com-PGSB-office-<50kW-nonCare-0.4_0.5
460,pge-com-PGSB-office-lt50kW-nonCare-0.5_0.6,18694083.62,1626,pge,PGSB,com,office,nonCare,0.5_0.6,<50kW,NA,0.802631579,724945,NA,NA,NA,NA,NA,pge-com-PGSB-office-<50kW-nonCare-0.5_0.6
461,pge-com-PGSB-office-lt50kW-nonCare-0.6_0.7,26209732.25,1626,pge,PGSB,com,office,nonCare,0.6_0.7,<50kW,NA,0.888888889,724945,NA,NA,NA,NA,NA,pge-com-PGSB-office-<50kW-nonCare-0.6_0.7
462,pge-com-PGSB-office-lt50kW-nonCare-0.7_0.8,39926405.4,1626,pge,PGSB,com,office,nonCare,0.7_0.8,<50kW,NA,0.76,724945,NA,NA,NA,NA,NA,pge-com-PGSB-office-<50kW-nonCare-0.7_0.8
463,pge-com-PGSB-office-lt50kW-nonCare-0.8_0.9,67324664.32,1626,pge,PGSB,com,office,nonCare,0.8_0.9,<50kW,NA,0.8625,724945,NA,NA,NA,NA,NA,pge-com-PGSB-office-<50kW-nonCare-0.8_0.9
464,pge-com-PGSB-office-lt50kW-nonCare-0.9_1.0,168688021.3,1627,pge,PGSB,com,office,nonCare,0.9_1.0,<50kW,NA,0.864197531,724945,NA,NA,NA,NA,NA,pge-com-PGSB-office-<50kW-nonCare-0.9_1.0
465,pge-com-PGSB-office-gt200kW-nonCare-0.0_0.1,44962881.78,74,pge,PGSB,com,office,nonCare,0.0_0.1,>200kW,NA,0.054054054,724945,NA,NA,NA,NA,NA,pge-com-PGSB-office->200kW-nonCare-0.0_0.1
466,pge-com-PGSB-office-gt200kW-nonCare-0.1_0.2,63705528.98,73,pge,PGSB,com,office,nonCare,0.1_0.2,>200kW,NA,0.102564103,724945,NA,NA,NA,NA,NA,pge-com-PGSB-office->200kW-nonCare-0.1_0.2
467,pge-com-PGSB-office-gt200kW-nonCare-0.2_0.3,80351965.06,73,pge,PGSB,com,office,nonCare,0.2_0.3,>200kW,NA,0.045454545,724945,NA,NA,NA,NA,NA,pge-com-PGSB-office->200kW-nonCare-0.2_0.3
468,pge-com-PGSB-office-gt200kW-nonCare-0.3_0.4,96125946.57,73,pge,PGSB,com,office,nonCare,0.3_0.4,>200kW,NA,0.05,724945,NA,NA,NA,NA,NA,pge-com-PGSB-office->200kW-nonCare-0.3_0.4
469,pge-com-PGSB-office-gt200kW-nonCare-0.4_0.5,115264479.9,74,pge,PGSB,com,office,nonCare,0.4_0.5,>200kW,NA,0.047619048,724945,NA,NA,NA,NA,NA,pge-com-PGSB-office->200kW-nonCare-0.4_0.5
470,pge-com-PGSB-office-gt200kW-nonCare-0.5_0.6,143779890.4,73,pge,PGSB,com,office,nonCare,0.5_0.6,>200kW,NA,0.125,724945,NA,NA,NA,NA,NA,pge-com-PGSB-office->200kW-nonCare-0.5_0.6
471,pge-com-PGSB-office-gt200kW-nonCare-0.6_0.7,178460107.6,73,pge,PGSB,com,office,nonCare,0.6_0.7,>200kW,NA,0.058823529,724945,NA,NA,NA,NA,NA,pge-com-PGSB-office->200kW-nonCare-0.6_0.7
472,pge-com-PGSB-office-gt200kW-nonCare-0.7_0.8,237867657.7,73,pge,PGSB,com,office,nonCare,0.7_0.8,>200kW,NA,0.102564103,724945,NA,NA,NA,NA,NA,pge-com-PGSB-office->200kW-nonCare-0.7_0.8
473,pge-com-PGSB-office-gt200kW-nonCare-0.8_0.9,349790238.3,73,pge,PGSB,com,office,nonCare,0.8_0.9,>200kW,NA,0.295454545,724945,NA,NA,NA,NA,NA,pge-com-PGSB-office->200kW-nonCare-0.8_0.9
474,pge-com-PGSB-office-gt200kW-nonCare-0.9_1.0,1180728256,74,pge,PGSB,com,office,nonCare,0.9_1.0,>200kW,NA,0.659574468,724945,NA,NA,NA,NA,NA,pge-com-PGSB-office->200kW-nonCare-0.9_1.0
475,pge-com-PGSB-retail-50_200kW-nonCare-0.0_0.2,25774004.93,174,pge,PGSB,com,retail,nonCare,0.0_0.2,50_200kW,NA,0.75,724945,NA,NA,NA,NA,NA,pge-com-PGSB-retail-50_200kW-nonCare-0.0_0.2
476,pge-com-PGSB-retail-50_200kW-nonCare-0.2_0.4,41949938,173,pge,PGSB,com,retail,nonCare,0.2_0.4,50_200kW,NA,0.8,724945,NA,NA,NA,NA,NA,pge-com-PGSB-retail-50_200kW-nonCare-0.2_0.4
477,pge-com-PGSB-retail-50_200kW-nonCare-0.4_0.6,54720540.04,173,pge,PGSB,com,retail,nonCare,0.4_0.6,50_200kW,NA,1,724945,NA,NA,NA,NA,NA,pge-com-PGSB-retail-50_200kW-nonCare-0.4_0.6
478,pge-com-PGSB-retail-50_200kW-nonCare-0.6_0.8,70332404.25,173,pge,PGSB,com,retail,nonCare,0.6_0.8,50_200kW,NA,0.625,724945,NA,NA,NA,NA,NA,pge-com-PGSB-retail-50_200kW-nonCare-0.6_0.8
479,pge-com-PGSB-retail-50_200kW-nonCare-0.8_1.0,119103242.3,173,pge,PGSB,com,retail,nonCare,0.8_1.0,50_200kW,NA,0.777777778,724945,NA,NA,NA,NA,NA,pge-com-PGSB-retail-50_200kW-nonCare-0.8_1.0
480,pge-com-PGSB-retail-lt50kW-nonCare-0.0_0.1,1080083.077,608,pge,PGSB,com,retail,nonCare,0.0_0.1,<50kW,NA,0.607142857,724945,NA,NA,NA,NA,NA,pge-com-PGSB-retail-<50kW-nonCare-0.0_0.1
481,pge-com-PGSB-retail-lt50kW-nonCare-0.1_0.2,3642785.036,606,pge,PGSB,com,retail,nonCare,0.1_0.2,<50kW,NA,0.885714286,724945,NA,NA,NA,NA,NA,pge-com-PGSB-retail-<50kW-nonCare-0.1_0.2
482,pge-com-PGSB-retail-lt50kW-nonCare-0.2_0.3,6088883.336,606,pge,PGSB,com,retail,nonCare,0.2_0.3,<50kW,NA,0.970588235,724945,NA,NA,NA,NA,NA,pge-com-PGSB-retail-<50kW-nonCare-0.2_0.3
483,pge-com-PGSB-retail-lt50kW-nonCare-0.3_0.4,9239064.672,608,pge,PGSB,com,retail,nonCare,0.3_0.4,<50kW,NA,0.945945946,724945,NA,NA,NA,NA,NA,pge-com-PGSB-retail-<50kW-nonCare-0.3_0.4
484,pge-com-PGSB-retail-lt50kW-nonCare-0.4_0.5,13143505.27,606,pge,PGSB,com,retail,nonCare,0.4_0.5,<50kW,NA,0.928571429,724945,NA,NA,NA,NA,NA,pge-com-PGSB-retail-<50kW-nonCare-0.4_0.5
485,pge-com-PGSB-retail-lt50kW-nonCare-0.5_0.6,18742576.29,606,pge,PGSB,com,retail,nonCare,0.5_0.6,<50kW,NA,0.916666667,724945,NA,NA,NA,NA,NA,pge-com-PGSB-retail-<50kW-nonCare-0.5_0.6
486,pge-com-PGSB-retail-lt50kW-nonCare-0.6_0.7,26375940.25,608,pge,PGSB,com,retail,nonCare,0.6_0.7,<50kW,NA,0.967741935,724945,NA,NA,NA,NA,NA,pge-com-PGSB-retail-<50kW-nonCare-0.6_0.7
487,pge-com-PGSB-retail-lt50kW-nonCare-0.7_0.8,36763158.87,606,pge,PGSB,com,retail,nonCare,0.7_0.8,<50kW,NA,0.806451613,724945,NA,NA,NA,NA,NA,pge-com-PGSB-retail-<50kW-nonCare-0.7_0.8
488,pge-com-PGSB-retail-lt50kW-nonCare-0.8_0.9,52092862.89,606,pge,PGSB,com,retail,nonCare,0.8_0.9,<50kW,NA,0.9375,724945,NA,NA,NA,NA,NA,pge-com-PGSB-retail-<50kW-nonCare-0.8_0.9
489,pge-com-PGSB-retail-lt50kW-nonCare-0.9_1.0,101139086.1,608,pge,PGSB,com,retail,nonCare,0.9_1.0,<50kW,NA,0.85,724945,NA,NA,NA,NA,NA,pge-com-PGSB-retail-<50kW-nonCare-0.9_1.0
490,pge-com-PGSB-retail-gt200kW-nonCare-0.0_0.1,19069480.71,30,pge,PGSB,com,retail,nonCare,0.0_0.1,>200kW,NA,0.125,724945,NA,NA,NA,NA,NA,pge-com-PGSB-retail->200kW-nonCare-0.0_0.1
491,pge-com-PGSB-retail-gt200kW-nonCare-0.1_0.2,29307182.9,28,pge,PGSB,com,retail,nonCare,0.1_0.2,>200kW,NA,0.117647059,724945,NA,NA,NA,NA,NA,pge-com-PGSB-retail->200kW-nonCare-0.1_0.2
492,pge-com-PGSB-retail-gt200kW-nonCare-0.2_0.3,35531397.93,28,pge,PGSB,com,retail,nonCare,0.2_0.3,>200kW,NA,0.117647059,724945,NA,NA,NA,NA,NA,pge-com-PGSB-retail->200kW-nonCare-0.2_0.3
493,pge-com-PGSB-retail-gt200kW-nonCare-0.3_0.4,39716239.55,28,pge,PGSB,com,retail,nonCare,0.3_0.4,>200kW,NA,0.05,724945,NA,NA,NA,NA,NA,pge-com-PGSB-retail->200kW-nonCare-0.3_0.4
494,pge-com-PGSB-retail-gt200kW-nonCare-0.4_0.5,44841865.57,28,pge,PGSB,com,retail,nonCare,0.4_0.5,>200kW,NA,0,724945,NA,NA,NA,NA,NA,pge-com-PGSB-retail->200kW-nonCare-0.4_0.5
495,pge-com-PGSB-retail-gt200kW-nonCare-0.5_0.6,51534778.54,28,pge,PGSB,com,retail,nonCare,0.5_0.6,>200kW,NA,0.1,724945,NA,NA,NA,NA,NA,pge-com-PGSB-retail->200kW-nonCare-0.5_0.6
496,pge-com-PGSB-retail-gt200kW-nonCare-0.6_0.7,59457284.6,28,pge,PGSB,com,retail,nonCare,0.6_0.7,>200kW,NA,0.052631579,724945,NA,NA,NA,NA,NA,pge-com-PGSB-retail->200kW-nonCare-0.6_0.7
497,pge-com-PGSB-retail-gt200kW-nonCare-0.7_0.8,65120220.03,28,pge,PGSB,com,retail,nonCare,0.7_0.8,>200kW,NA,0.176470588,724945,NA,NA,NA,NA,NA,pge-com-PGSB-retail->200kW-nonCare-0.7_0.8
498,pge-com-PGSB-retail-gt200kW-nonCare-0.8_0.9,71763078.5,28,pge,PGSB,com,retail,nonCare,0.8_0.9,>200kW,NA,0.055555556,724945,NA,NA,NA,NA,NA,pge-com-PGSB-retail->200kW-nonCare-0.8_0.9
499,pge-com-PGSB-retail-gt200kW-nonCare-0.9_1.0,120092254.2,30,pge,PGSB,com,retail,nonCare,0.9_1.0,>200kW,NA,0.2,724945,NA,NA,NA,NA,NA,pge-com-PGSB-retail->200kW-nonCare-0.9_1.0
500,pge-com-PGSF-com_other-noKW-nonCare-0.0_0.1,945332.6726,2680,pge,PGSF,com,com_other,nonCare,0.0_0.1,noKW,NA,0.4,724940,NA,NA,NA,NA,NA,pge-com-PGSF-com_other-noKW-nonCare-0.0_0.1
501,pge-com-PGSF-com_other-noKW-nonCare-0.1_0.2,5065869.483,2680,pge,PGSF,com,com_other,nonCare,0.1_0.2,noKW,NA,0.3,724940,NA,NA,NA,NA,NA,pge-com-PGSF-com_other-noKW-nonCare-0.1_0.2
