hour_ending,cooling,poolpump,plugload,other,total
4957.0,8644.70144796,718.173148,5234.99134686,12214.9798093,26812.8457522
4958.0,9742.3436526,690.491956,5533.2326403,12910.8761607,28876.9444096
4959.0,10282.4781919,624.364664,6072.94762302,14170.2111204,31150.0015993
4960.0,10573.1403987,521.329116,6868.2617397,16025.9440593,33988.6753137
4961.0,10160.2684788,433.672008,6992.43757998,16315.6876866,33902.0657534
4962.0,8632.24628563,302.955268,6201.17791284,14469.41513,29605.7945964
4963.0,7847.29008306,230.6766,6167.73023457,14391.3705473,28637.067465
4964.0,6565.56357113,210.684628,5888.26982079,13739.2962485,26403.8142684
4965.0,5357.08408645,169.16284,5426.3217744,12661.4174736,23613.9861744
4966.0,4087.20639832,121.489676,5709.8137833,13322.8988277,23241.4086853
4967.0,2622.58000841,84.58142,5249.41852797,12248.6432319,20205.2231883
4968.0,2190.12194588,93.808484,4530.52599786,10571.2273283,17385.6837561
4969.0,1712.8912874,99.95986,3917.49657555,9140.82534295,14871.1730659
4970.0,1520.48415128,76.8922,3652.14691863,8521.67614347,13771.1994134
4971.0,1394.86977985,96.884172,3704.40210066,8643.60490154,13839.7609541
4972.0,1211.8790712,110.724768,3384.55374723,7897.29207687,12604.4496633
4973.0,1006.40961931,109.186924,3155.59939962,7363.06526578,11634.2612087
4974.0,898.813199142,146.09518,3022.13966736,7051.65922384,11118.7072703
4975.0,856.05420906,269.1227,3219.19908615,7511.46453435,11855.8405296
4976.0,1062.08628692,352.166276,3146.52548373,7341.89279537,11902.670842
4977.0,1680.58011147,430.59632,3779.98142814,8819.95666566,14711.1145253
4978.0,2348.50951584,592.06994,3932.50655964,9175.84863916,16048.9346546
4979.0,3855.39918876,713.559616,4333.35913668,10111.1713189,19013.4892604
4980.0,6858.56100282,771.997688,4716.58614345,11005.367668,23352.5125023
4981.0,8180.29460176,718.173148,5617.52447706,13107.5571131,27623.54934
4982.0,8217.36185407,690.491956,5987.53957497,13970.9256749,28866.31906
4983.0,8211.04962086,624.364664,6209.81886294,14489.5773469,29534.8104947
4984.0,8989.39522864,521.329116,6508.44908871,15186.381207,31205.5546403
4985.0,8417.13665565,433.672008,5997.95705184,13995.233121,28843.9988364
4986.0,10041.3512436,302.955268,6105.5579205,14246.3018145,30696.1662466
4987.0,9772.23164582,230.6766,5782.02686442,13491.396017,29276.3311272
4988.0,8767.50185031,210.684628,6185.26182054,14432.2775813,29595.7258801
4989.0,7027.25496572,169.16284,6358.63217121,14836.8083995,28391.8583764
4990.0,5937.28391509,121.489676,5909.669265,13789.228285,25757.6711411
4991.0,5222.82590169,84.58142,4987.26127968,11636.9429859,21931.6115873
4992.0,4814.7379901,93.808484,4254.59699259,9927.39298271,19090.5364494
4993.0,3595.34355427,99.95986,3935.41964706,9182.64584314,16813.3689045
4994.0,2441.75491848,76.8922,3554.83785588,8294.62166372,14368.1066381
4995.0,2378.3224955,96.884172,3437.02738188,8019.73055772,13931.9646071
4996.0,1928.63915813,110.724768,3375.20189985,7875.47109965,13290.0369256
4997.0,1846.11047773,109.186924,2980.32145122,6954.08338618,11889.7022391
4998.0,1793.11123521,146.09518,2715.81559418,6336.9030531,10991.9250625
4999.0,1352.55335213,269.1227,2950.02904788,6883.40111172,11455.1062117
