hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,
121,0,0,0,0,0,0,0.257569,0.199216,0,0,0,0,0,0,0,0,,
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,,
128,2.475,2.325,2.325,2.25,2.25,2.1,2.1,2.1,2.1,2.175,2.325,2.325,2.25,2.325,4.069678,4.2,,
129,1.780835,1.227877,1.102869,1.021158,1.081113,0.686535,0.742395,0.726857,0.652379,0.651147,1.308316,1.107188,1.012095,1.392488,0,0.733959,,
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
139,1.425,1.35,1.35,1.35,1.35,1.275,0.375,0.375,1.275,1.275,1.35,1.35,1.35,1.35,0.15,1.5,,
140,3.015629,2.845565,2.808174,2.746936,2.822276,2.487671,3.274696,3.310613,2.479691,2.501286,2.754461,2.826986,2.726011,2.76331,3.187495,3.679659,,
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
143,3.049704,2.843981,2.815026,2.753289,2.82158,2.500239,2.394462,2.424595,2.48596,2.500505,2.791157,2.832853,2.751125,2.816951,2.11673,3.310578,,
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
154,1.99833,0,0,0,0,0,0,0,0,0,0,0,0,2.042683,0,2.217061,,
155,0,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
156,0,0.092513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
157,0,0,1.5,1.5,2.056628,0,0,0,0,0,1.5,2.063279,1.5,0,0,0,,
158,0,0,0.557472,0.536831,0,0,0,0,0,0,0.562762,0,0.550973,0,0,0,,
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
160,0,0,0,0,0,0.825,0.75,0.75,0.825,0.825,0,0,0,0,0,0,,
161,0,0,0,0,0,1.984202,1.967178,1.990674,1.943879,1.95469,0,0,0,0,2.506758,0,,
162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
