"ANON_ACCT_ID","ANON_SA_ID","ANON_SERVPNT_ID","MultiFam","MasterMeter"
0280815742,8122220766,8036410108,INDIV,Other
0281015877,4297234550,6945010176,MISSING,Other
0281015877,6475033950,6945010176,MISSING,Other
0281715859,7413225846,6393810107,INDIV,Other
0281715859,8703725849,1957810027,INDIV,Other
0281715859,9885020842,5086410011,INDIV,Other
0284015876,4397732725,9292310086,INDIV,Other
0287215865,6281320879,6360410036,MULTI,Other
0287215865,6649120879,7789710071,MULTI,Other
0287215865,7664536634,7789710071,MULTI,Other
0290115846,4994631226,1352410110,INDIV,Other
0290115846,7844031264,1352410110,INDIV,Other
0290115846,8923831211,9695710072,INDIV,Other
0290315871,0751326386,1369510113,MISSING,Other
0290315871,9433026402,6297210093,MISSING,Other
0290615799,5872220787,1690510071,INDIV,Other
0290615799,8710320629,3484310041,INDIV,Other
0292315779,5792520612,3262010082,INDIV,Other
0296915775,6329420856,1469610017,MULTI,Other
0298115790,4353420865,9303310030,INDIV,Other
0299315854,3429531440,0496410086,INDIV,Other
0299315854,8225120820,6746010034,INDIV,Other
0299315854,8488720820,7030810065,INDIV,Other
0303015858,5544020837,8419010043,INDIV,Other
0303015858,5751120837,1674510014,INDIV,Other
0303115694,8819436732,8074810058,MISSING,Other
0303115719,9233420295,2505510061,INDIV,Other
0303415880,2531437362,0307910032,INDIV,Other
0303415880,7389337355,9240910063,INDIV,Other
0308315682,0657320804,5284610082,INDIV,Other
0308315682,1032820804,9121610050,INDIV,Other
0309315782,3932433243,5243010005,INDIV,Other
0309315782,5131733167,5243010005,INDIV,Other
0309315782,6667633171,4898410042,INDIV,Other
0309515764,9358120761,4481710074,INDIV,Other
0310815878,3285434976,8688110175,MISSING,Other
0310815878,8001934979,8688110175,MISSING,Other
0312215720,3466720439,4009910028,INDIV,Other
0312215720,7434520604,2626810082,INDIV,Other
0312715815,3915320769,6065110038,INDIV,Other
0312715815,7610120400,3553810070,INDIV,Other
0313115876,7372532760,5137310031,INDIV,Other
0313115876,7945432766,3776010111,INDIV,Other
0316915803,3733020271,1046410003,INDIV,Other
0316915803,9973520632,8073710033,INDIV,Other
0317315763,7679520313,5077010089,INDIV,Other
0317815870,6503325461,6930110094,INDIV,Other
0319515772,1220420573,0160910026,INDIV,Other
0319515772,7574920643,7103410106,INDIV,Other
0320015872,5362827407,9101910003,INDIV,Other
0321415752,0979423111,8194510062,INDIV,Other
0321415752,1862923064,1230010019,INDIV,Other
0321415752,2333223088,1470710078,INDIV,Other
0321415752,5410423115,1470710078,INDIV,Other
0321415752,6443323096,1230010019,INDIV,Other
0323315783,3557220855,6353110019,INDIV,Other
0323315783,4113620855,7132410107,INDIV,Other
0326315816,1738420617,0871710080,INDIV,Other
0326315816,2655920654,8303310049,INDIV,Other
0332015832,2527920382,0645510033,INDIV,Other
0332015832,9952820475,0381010066,INDIV,Other
0332315831,1733620518,4563910008,INDIV,Other
0332315831,9933720292,9712610082,INDIV,Other
0332415850,3290420798,8694310082,INDIV,Other
0333215876,9024232781,6930110094,INDIV,Other
0337515774,7794420355,1205410055,INDIV,Other
0337515774,8094420317,6744910021,INDIV,Other
0338815681,7635720447,6319410063,INDIV,Other
0338815681,9954320600,1167210092,INDIV,Other
0340715878,6456134975,7512610100,INDIV,Other
0341915709,3730620428,4727910092,INDIV,Other
0341915709,7052620587,1299010014,INDIV,Other
0343515831,7492520878,8258910039,INDIV,Other
0343515831,7524420878,0372510067,INDIV,Other
0343515831,9707434618,8258910039,INDIV,Other
0347215785,1121520599,9037110023,INDIV,Other
0347215785,1973929123,5445810044,INDIV,Other
0347215785,9697529133,6001010010,INDIV,Other
0350915840,2043820759,5676010064,INDIV,Other
0350915840,5826920611,8891210029,INDIV,Other
0353315839,5582020572,5481210010,INDIV,Other
0354815869,4515724332,6601310000,INDIV,Other
0358215873,2928228550,2484010078,INDIV,Other
0358215873,7386628541,8387510114,INDIV,Other
0358415869,1652634454,4366610017,INDIV,Other
0358415869,6300525163,7717610023,INDIV,Other
0358415869,7941334460,2383910096,INDIV,Other
0358515724,6001720313,4399910078,INDIV,Other
0358515724,7155820540,5349710046,INDIV,Other
0361215793,0868420670,4470710112,INDIV,Other
0361215793,3570420681,0423310076,INDIV,Other
0363215875,3126031712,5385610011,INDIV,Other
0363215875,3383031511,5385610011,INDIV,Other
0369315858,5619025412,9710410089,MISSING,Other
0370615721,1287120695,1295010064,INDIV,Other
0370615721,2505920522,6443510048,INDIV,Other
0370615721,2564620739,7267510024,INDIV,Other
0370615721,3718620528,1274010037,INDIV,Other
0370615721,4235520324,8343810032,INDIV,Other
0370615721,6884120685,4525910036,INDIV,Other
0370615721,7073820611,9830810018,INDIV,Other
0370615721,7423320450,3896510098,INDIV,Other
0370615721,7628320474,0694310088,INDIV,Other
0370615721,8586720738,8039910004,INDIV,Other
0370615721,9315720755,9903210109,INDIV,Other
0370615721,9633920554,3779410092,INDIV,Master
0370615721,9795620477,2050910042,INDIV,Other
0374215733,8080120304,0854110046,INDIV,Other
0377115744,7066820504,9338210054,INDIV,Other
0377815748,1773120680,1813310051,INDIV,Other
0379815850,2568220798,6374710087,INDIV,Other
0379815850,3382220798,6751610005,INDIV,Other
0381915874,7851930048,4023510046,INDIV,Other
0381915874,8801330048,2786510015,INDIV,Other
0387415808,3247920459,3001610045,INDIV,Other
0387415808,6348720552,1001410078,INDIV,Other
0393615729,7018620470,0115210060,MISSING,Other
0395115805,4639125353,8744510077,MISSING,Other
0395115805,8937732474,8744510077,MISSING,Other
0396215851,0319920805,6880610095,MISSING,Other
0402915856,8687620827,9107010079,INDIV,Other
0402915856,9308220827,1071410091,INDIV,Other
0404415762,1846624620,1285710071,MISSING,Other
0404415762,3173420464,5014110085,MISSING,Other
0407115862,2665020859,1770210125,MISSING,Other
0407115862,6423934541,1770210125,MISSING,Other
0409915718,1544220497,1767510113,INDIV,Other
0409915718,8027620639,7119010078,INDIV,Other
0410615823,7121220497,3083110006,INDIV,Other
0410615823,9988520526,6365410013,INDIV,Other
0413615713,1472925737,7373010033,MULTI,Other
0415815698,9528720522,3227210110,MISSING,Other
0416115853,3593220813,1869010099,INDIV,Other
0416115853,7360520883,7981710067,INDIV,Other
0416315832,5034520507,2425310056,INDIV,Other
0417615745,0079820848,6378010071,INDIV,Other
0417615745,0197620848,9474510038,INDIV,Other
0417615745,9341735811,6378010071,INDIV,Other
0417615745,9527720847,8379810069,INDIV,Other
0417715834,2448820675,0066910022,INDIV,Other
0417715834,3287120881,8103010100,INDIV,Other
0418615788,1806420756,1299910036,INDIV,Other
0418615788,3019220423,9686410066,INDIV,Other
0419315858,6237120837,2908810054,INDIV,Other
0419315858,6427520837,8472410022,INDIV,Other
0421015847,9675920782,0226810006,MISSING,Other
0423015835,3204826168,1082610096,INDIV,Other
0425715807,5463920754,7975310100,INDIV,Other
0425915853,8551920871,0422110112,MISSING,Other
0430215772,7985820624,0339410041,INDIV,Other
0434715683,2759422201,6249810110,INDIV,Other
0434715683,7295022190,0122110032,INDIV,Other
0434915764,0574120331,4735510009,INDIV,Other
0434915764,7702120601,9990310081,INDIV,Other
0436715811,9706020771,4521410083,INDIV,Other
0439215703,5251020414,3610310016,INDIV,Other
0439215703,9629620548,5476210050,INDIV,Other
0442615694,1901720321,9802110042,INDIV,Other
0442615694,6050820543,0924010074,INDIV,Other
0443115811,1687420386,1595310025,MISSING,Other
0447815730,3121920438,7633610012,INDIV,Other
0447815730,5197920300,6884110100,INDIV,Other
0452415684,8864920430,6736410098,INDIV,Other
0453815731,6295220860,1260110080,INDIV,Other
0453815731,7755220860,8040110022,INDIV,Other
0455415869,2012724358,2946010079,INDIV,Other
0457215758,6249220831,6420710094,INDIV,Other
0457215758,6442920831,4780510015,INDIV,Other
0457315752,7400020476,7459110014,INDIV,Other
0457315752,8624820705,2502410046,INDIV,Other
0458615747,2604120674,3270410080,INDIV,Other
0459515691,1984226520,0513710078,INDIV,Other
0459515691,9916626527,4352910043,INDIV,Other
0460015720,6769431445,1956610077,INDIV,Other
0460015720,8548320774,9252910092,INDIV,Other
0460015720,9402931447,0660410107,INDIV,Other
0460015720,9646120774,8164110012,INDIV,Other
0460415782,3650031053,3056810047,INDIV,Other
0460415782,3781231055,2272010081,INDIV,Other
0460515792,2518629397,2065910079,INDIV,Other
0460515792,3933229406,9664410111,INDIV,Other
0462015708,0890020702,9635810047,INDIV,Other
0462015708,2376220355,6994010015,INDIV,Other
0462215876,3250432782,6494410027,INDIV,Other
0462215876,9766432767,0144010064,INDIV,Other
0462815743,7788620485,1111810013,MISSING,Other
0463415698,3180720512,3418010046,INDIV,Other
0463415698,9635020653,2658110079,INDIV,Other
0463415728,1412220511,5085110048,INDIV,Other
0463415728,7835220334,4117310014,INDIV,Other
0467115738,0962320555,8915110056,INDIV,Other
0467115738,3200720399,0920910088,INDIV,Other
0467315753,4541720810,9808210031,INDIV,Other
0467515868,2486123315,8846410041,MISSING,Other
0468115837,4623420374,5308210041,INDIV,Other
0468115837,7257220798,8962210002,INDIV,Other
0470815804,0992820540,3569610108,MISSING,Other
0470815804,4970720623,7245310080,MISSING,Other
0472815741,2038420511,1875110077,INDIV,Other
0472815741,2967920870,4327710045,INDIV,Other
0472815875,7668231493,5282810044,INDIV,Other
0472815875,8500831495,9188210078,INDIV,Other
0473815750,3357620279,3668310067,INDIV,Other
0473815750,6251620750,3363810066,INDIV,Other
0474315699,5135220323,7283910089,INDIV,Other
0478115734,9436320369,8432310103,INDIV,Other
0478215786,3386420871,5271610089,INDIV,Other
0478915864,8954120873,8044510137,INDIV,Other
0479715732,1980620397,7077910033,INDIV,Other
0479815682,5828220288,5061410107,INDIV,Other
0481515848,7629920798,0294710042,MISSING,Other
0481515848,8727920804,0294710042,MISSING,Other
0484015859,1159120843,2328610100,MULTI,Other
0487315742,8812720327,4690010056,INDIV,Other
0487315742,9882620472,5310910090,INDIV,Other
0488615799,6089320295,5077210037,INDIV,Other
0488615799,9836220696,2746910069,INDIV,Other
0491715725,3705920560,6223610053,MULTI,Other
0491715725,6379120294,9470110087,MULTI,Other
0497015787,8749720396,7465110076,MISSING,Other
0497215777,4488421281,9174110083,INDIV,Other
0497215777,9097326456,0810310005,INDIV,Other
0499815718,1734520457,1406510017,INDIV,Other
0499815718,6344220601,0444410053,INDIV,Other
0501415680,1070520441,3170210109,MULTI,Other
0501415680,4138320656,8800010006,MULTI,Other
0502415743,7498728723,2122810030,INDIV,Other
0502415743,9875320880,2198010057,INDIV,Other
0504515855,6320420881,4345710078,INDIV,Other
0504515855,9382320822,5455310043,INDIV,Other
0505215761,1989620817,8407610050,INDIV,Other
0505215761,8454232843,0943910027,INDIV,Other
0505215761,9084332850,2405410061,INDIV,Other
0506715781,0524720830,5446510091,INDIV,Other
0506715781,9263820750,7165310054,INDIV,Other
0508115770,1307725029,3710310048,INDIV,Other
0508115770,2294125026,1758010018,INDIV,Other
0508115770,4237525182,3710310048,INDIV,Other
0508515880,7756137460,5948310062,MISSING,Other
0508515880,8475937386,3356310091,MISSING,Other
0509115762,8100420883,9678810010,INDIV,Other
0512515872,2950027440,5995710046,INDIV,Other
0513215809,1275820411,0159810040,INDIV,Other
0514315746,1647020504,1994610014,MULTI,Other
0514315746,4662320365,0313010040,MULTI,Other
0514315758,3180020848,4142310067,INDIV,Other
0514315758,3455723745,9360410052,INDIV,Other
0514815793,1104520340,0953910054,INDIV,Other
0514815793,3768720657,3465610022,INDIV,Other
0514815793,5192720311,0953910054,INDIV,Other
0514815793,6075520291,3465610022,INDIV,Other
0515015880,5594037382,1825810075,INDIV,Other
0515015880,8670737390,8749710041,INDIV,Other
0515715877,5805534038,7062610079,INDIV,Other
0515715877,6901133964,7062610079,INDIV,Other
0515715877,9063033990,0920610072,INDIV,Other
0515915729,8871327898,7205710075,INDIV,Other
0516715879,5184436104,3447510097,INDIV,Other
0516715879,9918736098,6899010059,INDIV,Other
0518315796,4062120360,7505510068,INDIV,Other
0518315796,9603220440,3563210106,INDIV,Other
0521515873,0839128578,5454910056,INDIV,Other
0521515873,7779928571,7552310087,INDIV,Other
0523415848,9169420787,8703410037,INDIV,Other
0525015780,6359120588,7060410051,INDIV,Other
0525015780,6423120493,1824310021,INDIV,Other
0527715710,3792320589,7933410047,INDIV,Other
0527715710,9173120720,2029410078,INDIV,Other
0528715736,0404020282,4787110073,INDIV,Other
0528715736,8145120467,3531710099,INDIV,Other
0533415806,5492920490,4676210010,INDIV,Other
0533415806,9477720829,1435310044,INDIV,Other
0535915874,7966830060,0259810005,INDIV,Other
0535915874,9646030045,6677610084,INDIV,Other
0536015827,3342520503,7792910047,INDIV,Other
0536015827,7464420816,9510310082,INDIV,Other
0542215742,4965920711,2126310054,INDIV,Other
0543815703,2765220538,3939510060,INDIV,Other
0543815703,6381220342,1171510030,INDIV,Other
