,cooling,base,SH,WH
94,0.0,0.00013298588759164007,0.0004178264599710361,0.00040220014524543094
95,0.0,0.00012611392808294013,0.00043734108525924823,0.0003208024208122199
96,0.0,0.00010436282971742128,0.0004577002292601373,0.0
97,0.0,9.614006018977464e-05,0.0004713887242182891,0.0
98,0.0,9.276807879473605e-05,0.0004728606359308536,0.0
99,0.0,8.689659872642887e-05,0.0004739476624524547,0.0
100,0.0,8.63104643719407e-05,0.00047660717065400784,0.0
101,0.0,8.811603400067614e-05,0.0004690951836398211,0.0
102,0.0,9.657460758170969e-05,0.00046832886666013857,0.0
103,0.0,0.00010422134696838088,0.000459618381275836,0.002993753430261241
104,0.0,0.00010910396338162403,0.00045800996761578724,0.0
105,0.0,0.00010918820992227693,0.0004411257405459125,0.0
106,0.0,0.00010956912836697632,0.0004204155286154338,0.0
107,0.0,0.00011757149439247377,0.00040463503790152033,0.0
108,3.788802085612497e-06,0.0001224257620034534,0.0003905204421671849,0.0
109,7.792257699357212e-06,0.00010670416785183151,0.00037041331628206054,0.0
110,1.0330007529529547e-05,8.679427889819075e-05,0.0003612689032001427,1.21653484975202e-05
111,6.915336135466715e-06,8.122182477189932e-05,0.00036428006933689726,0.0003924572277517457
112,2.0582606450297987e-06,0.00010090909374388244,0.00036351295990763723,0.0003153362589774793
113,0.0,0.00014033625186560367,0.00048068822032086957,0.0
114,0.0,0.0001714959992589907,0.0005970236200564564,0.0
115,0.0,0.00017304162095284402,0.0006511457111740814,0.0
116,0.0,0.00016935924443321429,0.0007086200390914009,0.0
117,0.0,0.0001517144766525779,0.0007458889673449729,0.0
118,0.0,0.0001342092579864148,0.0007966725449928142,0.0
119,0.0,0.00010684462690047758,0.0008734319358603109,0.0
120,0.0,9.089233349291998e-05,0.0009998187277372869,0.0
121,0.0,8.596357009207918e-05,0.0010599372528913643,0.0
122,0.0,8.254106681927927e-05,0.0010787023631371395,0.0
123,0.0,8.017773609647677e-05,0.001193600672434176,0.0
124,0.0,8.097272781813772e-05,0.001236773301709252,0.0
125,0.0,8.701937570770155e-05,0.0012024645848110257,0.0
126,0.0,0.00010945429857555038,0.0011922582072233176,0.0
127,0.0,0.00011697303592473146,0.0010642372064950385,0.0046278326160221145
128,0.0,9.88215470073494e-05,0.0007216137171780713,2.5613723692723776e-05
129,0.0,9.455907428214028e-05,0.00041663010823648464,0.0
130,0.0,9.212397460501767e-05,0.00030676386014023604,0.0
131,0.0,8.226959139267665e-05,0.00018089741400076684,0.0
132,0.0,7.671206412717042e-05,0.00010457019540460592,0.0
133,0.0,7.100309292377868e-05,8.30124363091523e-05,0.0
134,0.0,8.015823869440615e-05,3.0381041333145713e-05,0.0
