hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
94,0.357451,0.361559,0.363727,0.365945,0.368785,0.375451,0.383199,0.378528,0.373326,0.370652,1.903611,0.360655,0.36308,0,0.374007,0
95,1.368141,1.201551,0.379624,0.382143,0.38559,0.394578,0.323653,0.397117,0.390604,0.387236,0,0.375157,0.378054,0,0.39467,0
96,0,0,0.277303,0.225363,0.168525,0.031491,0,0.002393,0.10336,0.150796,0,0.584418,0.301543,0,0.04592,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,3.429984,3.288788,0.254388,2.821281,0.253811,0.262556,0.267688,0.265421,0.262509,0.264128,3.268916,2.878511,2.814023,3.416349,0.260763,3.75
105,0,0,0.341785,0,0.34052,0.357767,0.367385,0.362645,0.354374,0.3596,0,0,0,0,0.37004,0.016762
106,0,0,0.364558,0,0.365275,0.385481,0.378338,0.39483,0.380241,0.389053,0,0,0,0,0.343183,0
107,0,0,0.387972,0,0.39136,0.137138,0,0.038468,0.208299,0.099013,0,0,0,0,0,0
108,1.858668,0.199232,0.046605,0,0.021493,0,0,0,0,0,0.199487,0,0,1.764506,0,1.972328
109,0,0.36905,0,0,0,0,0,0,0,0,0.367394,0,0,0,0,0
110,0,0.269178,0,0,0,0,0,0,0,0,0.292969,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0,0,0.331203,0.011435,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0,0.374807,0.368896,0,0,0
113,0,0,0,0.361713,0,0,0,0,0,0,0,0,0.296405,0,0,0
114,0,0,0,0.325475,0,0,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0.280305,0,0.124335,0.103643,0.104388,0.103907,0.109124,0.108693,0,0,0,0,0,0
118,0,0,0.372352,0,0.362501,0.373062,0.377915,0.375749,0.371292,0.369778,0,0,0,0,0.051493,0
119,0,0,0.369222,0,0.387379,0.336313,0.283569,0.304187,0.360813,0.374638,0,0,0,0,0.365958,0
120,0,0,0,0,0.110877,0,0,0,0,0,0,0,0,0,0.398707,0
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003854,0
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.847524
123,0.226586,0,0,0,0,0,0,0,0,0,0,0,0,1.721318,0,0
124,0.376796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0.281917,0.005816,0,0,0,0,0,0,0,0,0.064787,0,0,0,0,0
126,0,0.359715,0,0,0,0,0,0,0,0,0.367961,0,0,0,0,0
127,0,1.046416,0,0,0,0,0,0,0,0,0.384966,0,0,0,0,0
128,0.160602,2.325,0.164751,0.306767,0.158649,0.164881,0.16418,0.164238,0.163586,0.164602,0.341884,0.309371,4.35,2.325,0.158163,2.4
129,0.315841,0.823419,0.324504,0.318233,0.322559,0.342192,0.339536,0.339024,0.335109,0.338899,2.484326,3.587663,0.024076,1.214127,0.346755,1.734696
130,0.34265,0,0.350642,0.341852,0.34833,0.373501,0.372856,0.371771,0.364835,0.371063,0,0,0,0,0.374911,0
131,0.366613,0,0.37349,0.363648,0.371818,0.344849,0.341434,0.353381,0.396987,0.349457,0,0,0,0,0.283403,0
132,0.388408,0,0.331355,0.388152,0.35467,0,0,0,0.029042,0,0,0,0,0,0,0
133,0.047628,0,0,0.136023,0,0,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0.105885,0.106099,0.10184,0.102773,0.102095,0.106351,0.108031,0.106753,0.105718,0.105882,0.106383,0.10623,0.10707,0.105389,0.103184,1.575
140,0.295709,0.299123,0.30281,0.306302,0.303766,0.320908,0.327823,0.322473,0.31835,0.318727,0.300265,0.299761,0.303136,4.168071,0.332329,3.935847
141,0.323032,0.324601,0.329716,0.335021,0.331872,0.354563,0.364014,0.355039,0.349034,0.350008,0.324124,0.32468,0.329267,0,0.363182,0
142,0.340138,0.339915,0.34606,0.352492,0.348776,0.37482,0.386051,0.374464,0.367345,0.368623,0.338469,0.339694,0.34492,0,0.382024,0
143,0.309526,0.312114,0.317488,0.322663,0.31884,0.34309,0.354177,0.344276,0.337944,0.338605,0.312042,0.312442,0.31722,2.937711,0.355904,3.431396
144,0.32025,0.321788,0.328588,0.33495,0.33031,0.35911,0.374041,0.360394,0.352159,0.353343,3.51207,0.321836,0.327799,0,0.372618,0
145,0.343336,0.342929,0.351569,0.359561,0.353815,0.387264,0.272738,0.388786,0.378435,0.380254,0,0.342513,0.350019,0,0.28865,0
146,0.363994,0.361984,0.372147,0.381644,0.374821,0.1192,0,0.095729,0.258477,0.231501,0,0.361256,0.370099,0,0,0
147,0.38252,0.379992,0.391491,0.234176,0.368778,0,0,0,0,0,0,0.378084,0.38913,0,0,0
148,0.220708,0.261671,0.032498,0,0,0,0,0,0,0,0,0.287498,0.075237,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0.303314,0.296296,0.300971,0.304438,0.301017,0,0,0,0,0,0.293053,0.297885,0.299611,2.473152,0,2.69351
